Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
11/08/2015;17:00:00;68;2;9;3;63;228;4;0;0;932;33.2;0;0;0
11/08/2015;18:00:00;45;2;11;2;67;255;3.1;0;0;931;33.6;0;0;0
11/08/2015;19:00:00;70;2;10;3;72;244;3.3;0;0;931;33;0;0;0
11/08/2015;20:00:00;69;2;14;3;73;230;2.9;0;0;931;32.7;0;0;0
11/08/2015;21:00:00;56;2;11;2;77;200;3.5;0;0;932;30.9;0;0;0
11/08/2015;22:00:00;52;2;11;2;76;196;2.9;0;0;933;29.4;0;0;0
11/08/2015;23:00:00;52;2;10;2;76;206;2.8;0;0;934;28.2;0;0;0
11/08/2015;0:00:00;68;2;10;2;75;212;3.4;0;0;934;27.2;0;0;0
12/08/2015;1:00:00;83;2;12;2;69;223;1.8;0;0;934;26.1;0;0;0
12/08/2015;2:00:00;74;2;14;2;64;224;1.2;0;0;935;24.9;0;0;0
12/08/2015;3:00:00;53;2;18;3;63;222;1.3;0;0;934;24.1;0;0;0
12/08/2015;4:00:00;61;2;13;2;71;222;1.9;0;0;934;24.1;0;0;0
12/08/2015;5:00:00;63;2;12;2;74;205;1.2;0;0;935;23.6;0;0;0
12/08/2015;6:00:00;68;2;26;2;62;250;0.6;0;0;934;22.1;0;0;0
12/08/2015;7:00:00;51;2;41;2;50;234;0.8;0;0;935;20.5;0;0;0
12/08/2015;8:00:00;54;2;52;4;50;156;1;0;0;935;20.6;0;0;0
12/08/2015;9:00:00;57;2;43;4;58;162;1.4;0;0;936;22.4;0;0;0
12/08/2015;10:00:00;60;2;40;4;64;140;1.7;0;0;936;24.1;0;0;0
12/08/2015;11:00:00;68;2;26;4;76;155;1.7;0;0;936;26.5;0;0;0
12/08/2015;12:00:00;46;2;15;2;84;161;2.2;0;0;936;28.7;0;0;0
12/08/2015;13:00:00;42;2;10;2;90;190;2.1;0;0;936;30.6;0;0;0
12/08/2015;14:00:00;42;2;11;2;88;108;2.7;0;0;936;32.7;0;0;0
12/08/2015;15:00:00;51;2;12;2;82;271;2;0;0;935;34.6;0;0;0
12/08/2015;16:00:00;40;2;11;2;76;245;3;0;0;935;34.7;0;0;0
12/08/2015;17:00:00;52;2;10;2;76;268;2.4;0;0;934;34.5;0;0;0
12/08/2015;18:00:00;50;2;13;2;85;286;3;0;0;934;34.1;0;0;0
12/08/2015;19:00:00;26;2;15;2;87;267;2.8;0;0;934;33.7;0;0;0
12/08/2015;20:00:00;34;2;17;2;85;273;2.5;0;0;934;32.6;0;0;0
12/08/2015;21:00:00;46;2;21;3;77;271;1.8;0;0;935;31.2;0;0;0
12/08/2015;22:00:00;32;2;28;2;72;267;1.7;0;0;935;28.9;0;0;0
12/08/2015;23:00:00;55;2;15;3;69;293;2.7;0;0;936;26.6;0;0;0
12/08/2015;0:00:00;28;2;12;2;56;299;1.7;0;0;937;25;0;0;0
13/08/2015;1:00:00;22;2;11;2;50;248;1.9;0;0;937;24.1;0;0;0
13/08/2015;2:00:00;17;2;10;2;46;249;2;0;0;937;23;0;0;0
13/08/2015;3:00:00;19;2;9;2;43;226;2.2;0;0;937;21.5;0;0;0
13/08/2015;4:00:00;24;2;10;3;41;270;2.1;0;0;937;20.5;0;0;0
13/08/2015;5:00:00;18;2;11;3;39;267;1.5;0;0;937;19.3;0;0;0
13/08/2015;6:00:00;26;2;12;2;42;227;1.8;0;0;937;18.3;0;0;0
13/08/2015;7:00:00;28;2;13;2;48;229;1.3;0;0;937;17.3;0;0;0
13/08/2015;8:00:00;33;2;20;3;51;211;1.6;0;0;938;16.3;0;0;0
13/08/2015;9:00:00;15;2;17;3;42;334;0.9;0;0;938;17.9;0;0;0
13/08/2015;10:00:00;24;2;19;3;46;270;1.6;0;0;939;18.9;0;0;0
13/08/2015;11:00:00;24;2;18;4;54;270;1.8;0;0;938;21.1;0;0;0
13/08/2015;12:00:00;17;2;17;4;62;266;2.1;0;0;938;22.7;0;0;0
13/08/2015;13:00:00;11;2;15;3;65;240;2.3;0;0;938;24.7;0;0;0
13/08/2015;14:00:00;16;2;14;3;71;269;3.1;0;0;938;26.2;0;0;0
13/08/2015;15:00:00;23;2;11;2;69;287;3.6;0;0;937;27.1;0;0;0
13/08/2015;16:00:00;29;2;13;2;71;276;3.7;0;0;937;27.7;0;0;0
13/08/2015;17:00:00;24;2;11;3;79;267;3.8;0;0;937;27.3;0;0;0
13/08/2015;18:00:00;50;2;12;2;82;272;3.5;0;0;936;27.2;0;0;0
13/08/2015;19:00:00;36;2;12;2;85;269;3.1;0;0;936;26.5;0;0;0
13/08/2015;20:00:00;15;2;14;2;87;255;3.1;0;0;936;25.1;0;0;0
13/08/2015;21:00:00;13;2;19;2;84;273;2.7;0;0;936;23.8;0;0;0
13/08/2015;22:00:00;7;2;19;3;77;277;2.2;0;0;936;22.4;0;0;0
13/08/2015;23:00:00;17;2;22;2;68;272;1.3;0;0;936;21;0;0;0
13/08/2015;0:00:00;13;2;17;2;69;206;0.9;0;0;936;20.2;0;0;0
14/08/2015;1:00:00;11;2;11;2;73;224;1.5;0;0;936;19.7;0;0;0
14/08/2015;2:00:00;17;2;9;2;73;247;1;0;0;936;19.1;0;0;0
14/08/2015;3:00:00;15;2;8;2;68;252;1.2;0;0;936;17.9;0;0;0
