Fecha;Hora;PM10;PM25;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
12/06/2015;19:00:00;19;9;2;6;2;0.09;84;271;1.5;36.2;0;935;23.6
12/06/2015;20:00:00;20;10;2;5;2;0.11;91;265;2.3;35.8;0;935;23
12/06/2015;21:00:00;15;18;2;5;2;0.09;95;272;2.3;32.9;0;936;22.6
12/06/2015;22:00:00;11;13;2;9;2;0.12;89;277;1.4;33.6;0;936;21.5
12/06/2015;23:00:00;12;7;2;7;2;0.11;89;272;0.7;37.1;0;936;20.3
12/06/2015;0:00:00;15;18;2;5;2;0.12;89;268;0.8;39.9;0;937;19.5
13/06/2015;1:00:00;11;10;2;4;2;0.07;90;270;0.7;39.9;0;936;19.4
13/06/2015;2:00:00;19;11;2;8;2;0.11;80;1;0;43.6;0;937;18.6
13/06/2015;3:00:00;17;15;2;5;2;0.07;81;277;0.1;45.4;0;936;18.3
13/06/2015;4:00:00;21;10;2;4;2;0.09;90;289;0;43.3;0;936;17.7
13/06/2015;5:00:00;25;11;2;2;2;0.08;97;275;0;42;0;936;17.2
13/06/2015;6:00:00;13;10;2;2;2;0.1;95;277;0;44.2;0;936;16.6
13/06/2015;7:00:00;18;9;2;4;2;0.09;89;294;0;45.3;0;936;16.2
13/06/2015;8:00:00;18;8;2;7;2;0.1;82;293;0;45.3;0;936;16.1
13/06/2015;9:00:00;20;6;2;7;2;0.09;82;291;0.2;46.5;0;936;16.1
13/06/2015;10:00:00;21;6;2;7;2;0.1;85;292;0.6;44.2;0;936;16.9
13/06/2015;11:00:00;24;8;2;8;2;0.09;90;298;0.6;43.7;0;936;18
13/06/2015;12:00:00;20;6;2;6;2;0.13;96;307;1.4;40.5;0;936;19.2
13/06/2015;13:00:00;22;8;2;6;2;0.09;100;295;1.2;39.2;0;936;19.4
13/06/2015;14:00:00;19;11;2;6;2;0.1;100;296;0.9;37.6;0;936;20.3
13/06/2015;15:00:00;22;16;2;5;2;0.08;102;297;0.9;34.8;0;936;21.8
13/06/2015;16:00:00;16;8;2;3;2;0.07;104;292;2.5;33.6;0;936;22.4
13/06/2015;17:00:00;20;7;2;2;2;0.1;104;280;2.3;32.5;0;936;22.6
13/06/2015;18:00:00;16;14;2;3;2;0.09;103;285;2;32.2;0;935;22.5
13/06/2015;19:00:00;15;6;2;4;2;0.09;102;299;2.3;30.8;0;935;22.6
13/06/2015;20:00:00;19;7;2;4;2;0.08;104;294;2.8;29.4;0;935;22.6
13/06/2015;21:00:00;15;14;2;5;2;0.06;99;289;2.4;28.8;0;936;22
13/06/2015;22:00:00;14;13;2;6;2;0.07;90;296;1.9;32.9;0;937;20.2
13/06/2015;23:00:00;15;12;2;10;2;0.08;80;285;0.4;36.2;0;937;18.7
13/06/2015;0:00:00;15;17;2;11;2;0.08;74;298;0;40.8;0;938;17.5
14/06/2015;1:00:00;22;16;2;10;2;0.09;70;296;0.1;45.7;0;938;16.7
14/06/2015;2:00:00;14;7;2;11;2;0.1;64;291;0;48.7;0;938;15.7
14/06/2015;3:00:00;12;7;2;9;2;0.07;64;285;0;52.4;0;938;14.9
14/06/2015;4:00:00;16;8;2;5;2;0.11;70;276;0.1;54.4;0;938;14.6
14/06/2015;5:00:00;16;5;2;3;2;0.08;72;272;0;58.1;0;938;14
14/06/2015;6:00:00;12;6;2;2;2;0.07;76;268;0;61.2;0;938;13.6
14/06/2015;7:00:00;7;11;2;2;2;0.1;76;269;0;63.9;0;938;13.3
14/06/2015;8:00:00;7;9;2;3;2;0.09;73;270;0;63.5;0;938;13.8
14/06/2015;9:00:00;10;7;2;2;2;0.08;75;268;0;58.5;0;938;15.6
14/06/2015;10:00:00;15;8;2;2;2;0.11;77;251;0;54.8;0;939;16.6
14/06/2015;11:00:00;14;7;2;3;2;0.08;77;314;0.3;48.7;0;939;17.3
