Fecha;CO;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
28/02/2015;0.45;8;64;40;46;13;5;267;100;1010.4;9.5;0.69
27/02/2015;0.4;9;61;43;80;10;5;331;91;1014.5;8.1;1.07
26/02/2015;0.39;6;78;34;66;7;4;242;99;1012.9;11.4;1.44
25/02/2015;0.36;2;34;18;72;5;4;250;100;1015.9;9.7;2.42
24/02/2015;0.36;4;52;27;69;6;4;247;99;1012.2;6.4;1.74
23/02/2015;0.41;9;51;39;70;10;5;262;98;1001.2;9.1;1.58
22/02/2015;0.34;4;45;29;74;9;7;261;99;1003.2;8.1;0.62
21/02/2015;0.28;2;24;19;77;7;7;261;96;999;7.5;1.76
20/02/2015;0.45;12;56;54;55;20;9;268;85;1005.4;8.6;1.18
19/02/2015;0.43;23;75;83;49;31;10;241;80;1017.8;7.2;0.77
18/02/2015;0.39;21;78;78;65;20;10;321;92;1024.5;6;0.24
17/02/2015;0.26;7;42;34;71;13;7;346;80;1022.2;8.5;2.86
16/02/2015;0.36;7;91;41;63;9;7;251;94;1008.4;9.3;0.98
15/02/2015;0.37;4;60;36;48;11;7;208;100;1000.1;9.5;0.41
14/02/2015;0.37;3;35;29;43;12;7;280;100;1001.2;7.3;1.08
13/02/2015;0.45;13;79;48;69;22;7;256;77;1005.4;8.7;1.73
12/02/2015;0.4;10;59;45;58;25;8;261;79;1007.2;7.6;1.25
11/02/2015;0.5;12;44;55;47;40;8;261;84;1009.1;4.5;1.2
10/02/2015;0.49;17;63;73;57;34;8;240;79;1012;4.3;0.96
09/02/2015;0.41;15;73;68;41;30;12;38;77;1016.9;5.2;0.69
08/02/2015;0.41;7;55;42;41;28;9;356;89;1018.3;3.9;0.7
07/02/2015;0.46;7;56;41;18;30;8;262;100;1010.1;1.9;0.06
06/02/2015;0.52;19;67;77;44;17;8;173;100;1002.7;1.5;0.05
05/02/2015;0.29;10;61;48;59;11;8;357;84;1005.6;3.9;1.3
04/02/2015;0.38;10;80;55;56;11;7;348;92;998;2.5;0.64
03/02/2015;0.34;15;76;63;56;8;7;25;98;989.4;4.5;0.58
02/02/2015;0.29;7;48;38;56;10;7;267;92;993.5;6;1.07
01/02/2015;0.38;3;28;21;70;7;7;249;97;999.6;4.4;1.36
31/01/2015;0.36;3;26;18;74;8;7;252;99;985.9;5.6;1.84
30/01/2015;0.35;;77;;70;9;7;247;100;983.3;9.1;1.48
29/01/2015;0.41;;72;;30;19;7;265;97;996.4;8.7;1.32
28/01/2015;0.38;13;58;58;33;18;7;262;98;1013.1;8.4;0.63
27/01/2015;0.48;25;87;81;42;20;8;222;100;1019.6;8.1;0.64
26/01/2015;0.5;24;76;79;14;34;8;263;96;1021.2;6.8;0.39
25/01/2015;0.48;7;47;40;49;18;8;40;89;1021.9;6.7;0.54
24/01/2015;0.46;9;59;42;37;19;8;299;97;1019.2;4.9;0.53
23/01/2015;0.43;11;63;55;43;19;7;296;91;1014.6;5.6;0.65
22/01/2015;0.35;10;71;51;52;10;7;302;97;1003.4;5.5;0.72
21/01/2015;0.39;7;48;38;60;9;6;253;100;996.3;4.9;1.07
20/01/2015;0.35;8;46;41;46;12;7;255;95;998.5;5;0.8
19/01/2015;0.35;7;80;34;63;8;7;274;88;1001.7;5.8;1.36
18/01/2015;0.37;4;25;21;58;8;6;207;70;998.3;7.9;1.02
17/01/2015;0.38;4;27;25;50;11;6;269;85;1008.6;6;0.98
16/01/2015;0.31;5;37;30;58;7;7;252;97;1000.5;6.6;1.12
15/01/2015;0.45;8;47;36;65;9;6;221;60;998.1;13.1;2.44
14/01/2015;0.45;19;61;55;52;18;7;261;72;1010.7;10;1.24
13/01/2015;0.49;9;48;34;54;14;7;260;62;1009.9;11.9;2.27
12/01/2015;0.46;9;56;40;41;13;7;268;73;1017.1;8.3;1.49
11/01/2015;0.47;6;38;30;48;18;7;265;99;1023;9.1;0.46
10/01/2015;0.44;25;46;70;11;29;13;121;95;1023.2;8.7;0.27
09/01/2015;0.6;27;41;69;15;24;8;240;90;1030.4;8.2;0.7
08/01/2015;0.6;29;62;77;16;38;8;253;92;1026.5;6.7;0.77
07/01/2015;0.57;19;57;58;20;23;7;248;93;1019.9;6.3;0.8
06/01/2015;0.58;11;29;38;21;23;7;244;95;1016.4;7.3;0.84
05/01/2015;0.62;14;34;45;24;17;7;253;88;1016.3;7.1;0.74
04/01/2015;0.74;17;34;48;24;26;8;236;98;1024.6;8.7;0.62
03/01/2015;0.74;18;55;61;15;26;9;231;87;1026;5.9;0.03
02/01/2015;0.59;19;47;59;11;21;7;245;88;1027.3;4.4;0.6
01/01/2015;0.7;9;35;37;27;28;7;248;87;1025.2;3.1;0.77
