Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
20/09/2015;9:00:00;22;8;9;3;28;63;0.1;74.3;0;949;10.7
20/09/2015;10:00:00;18;7;5;3;35;69;0.2;73.1;0;949;13.3
20/09/2015;11:00:00;23;0;3;2;43;71;0.1;67.2;0;950;16.3
20/09/2015;12:00:00;24;0;4;2;62;85;0.2;56.7;0;950;19.8
20/09/2015;13:00:00;23;0;2;2;81;108;0.1;43.6;0;950;23.3
20/09/2015;14:00:00;25;0;2;2;96;163;0.1;29.9;0;949;26.2
20/09/2015;15:00:00;22;0;3;2;109;47;0.4;25.1;0;949;27.2
20/09/2015;16:00:00;16;0;3;2;112;69;0.3;24.4;0;948;27.9
20/09/2015;17:00:00;14;0;2;2;111;323;0.9;23.8;0;947;28.1
20/09/2015;18:00:00;12;0;2;2;111;345;0.4;23.3;0;947;28
20/09/2015;19:00:00;11;0;3;2;113;332;0.8;23;0;946;28
20/09/2015;20:00:00;11;0;3;2;112;249;0.5;24.1;0;946;27.3
20/09/2015;21:00:00;17;0;10;2;82;254;0.1;30.7;0;946;24
20/09/2015;22:00:00;25;0;15;2;73;294;0;35.1;0;946;21.8
20/09/2015;23:00:00;24;0;27;8;55;118;0;38.4;0;947;20.5
20/09/2015;0:00:00;27;0;8;2;77;271;0;42;0;947;19.5
21/09/2015;1:00:00;81;0;14;2;66;195;0.1;46;0;947;18.5
21/09/2015;2:00:00;34;0;20;2;59;225;0;44.8;0;947;18.8
21/09/2015;3:00:00;15;0;9;2;62;245;0;47.9;0;946;17.8
21/09/2015;4:00:00;22;0;6;2;62;23;0;52.8;0;946;16.1
21/09/2015;5:00:00;20;0;4;2;61;344;0;55.3;0;946;15.5
21/09/2015;6:00:00;17;0;5;2;58;289;0;56.6;0;945;15.1
21/09/2015;7:00:00;16;0;16;2;46;146;0;60.1;0;945;14.3
21/09/2015;8:00:00;16;0;37;10;10;72;0;62.8;0;946;13.7
21/09/2015;9:00:00;23;0;59;69;3;252;0;59.9;0;946;14.4
21/09/2015;10:00:00;53;0;52;55;10;247;0;51.9;0;946;16.8
21/09/2015;11:00:00;46;0;29;9;53;226;0;44.4;0;946;20.8
21/09/2015;12:00:00;29;0;8;2;98;280;0.1;34.6;0;946;24.8
21/09/2015;13:00:00;21;0;4;2;119;251;1;30.2;0;946;26.7
21/09/2015;14:00:00;28;0;3;2;119;273;1.8;26.1;0;946;28.2
21/09/2015;15:00:00;25;0;3;2;113;272;2.5;22.3;0;945;29.1
21/09/2015;16:00:00;37;0;4;2;114;299;1.9;21.9;0;944;29.8
21/09/2015;17:00:00;26;0;2;2;108;288;2.3;21.4;0;944;29.7
21/09/2015;18:00:00;26;0;2;2;107;268;3.1;21.3;0;943;29
21/09/2015;19:00:00;19;0;3;2;105;270;3;21.6;0;943;28.1
21/09/2015;20:00:00;20;0;3;2;102;263;2.7;23.6;0;943;26.9
21/09/2015;21:00:00;29;0;6;2;91;274;1.3;28;0;943;24.2
21/09/2015;22:00:00;31;0;7;2;81;242;0.4;30.3;0;944;21.7
21/09/2015;23:00:00;30;0;7;2;76;267;0.4;35.5;0;944;20.2
21/09/2015;0:00:00;28;0;6;2;79;287;0.1;39.2;0;944;19.6
22/09/2015;1:00:00;20;0;3;2;85;269;0.2;38.6;0;944;19.7
22/09/2015;2:00:00;21;0;5;2;79;222;1;40;0;944;18.4
22/09/2015;3:00:00;20;0;5;2;77;228;0.2;41.4;0;944;17.3
22/09/2015;4:00:00;18;0;3;2;80;229;0.2;39.3;0;944;16.6
