Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
17/05/2015;12:00:00;0;0.6;3;112;6;60;0.5;26.2;31;1021;0.0
17/05/2015;13:00:00;0;0.4;3;112;8;56;0.6;26.2;32;1021;0.0
17/05/2015;14:00:00;0;0.7;3;113;10;56;0.5;26.6;30;1020;0.0
17/05/2015;15:00:00;0;0.4;3;114;9;55;0.6;26.3;31;1020;0.0
17/05/2015;16:00:00;0;0.3;3;116;6;51;0.6;25.8;29;1019;0.0
17/05/2015;17:00:00;0;0.6;5;115;10;55;0.6;22.7;49;1019;0.0
17/05/2015;18:00:00;0;0.5;4;113;8;52;0.4;21.4;58;1019;0.0
17/05/2015;19:00:00;0;0.3;4;110;7;49;0.2;21.1;53;1019;0.0
17/05/2015;20:00:00;0;0.1;5;108;8;87;0.1;19.9;55;1019;0.0
17/05/2015;21:00:00;0;0.2;6;106;9;104;0.1;19.1;61;1020;0.0
17/05/2015;22:00:00;0;0.2;8;100;15;116;0.1;18.6;71;1020;0.0
17/05/2015;23:00:00;0;0.1;4;103;7;110;0.1;18.4;74;1020;0.0
17/05/2015;0:00:00;0;0.0;2;103;16;102;0.1;18.3;77;1019;0.0
18/05/2015;1:00:00;0;0.5;29;63;10;98;0.1;18.0;79;1019;0.0
18/05/2015;2:00:00;0;0.7;35;45;11;104;0.1;17.2;82;1018;0.0
18/05/2015;3:00:00;0;0.4;24;49;12;105;0.1;16.6;83;1018;0.0
18/05/2015;4:00:00;0;0.2;15;66;13;110;0.1;16.8;85;1018;0.0
18/05/2015;5:00:00;0;0.3;4;93;12;107;0.1;17.2;87;1018;0.0
18/05/2015;6:00:00;0;18.8;38;46;8;58;0.2;18.3;80;1017;0.0
18/05/2015;7:00:00;7;52.5;71;18;24;44;0.4;19.7;71;1017;0.0
18/05/2015;8:00:00;5;11.4;31;69;21;46;0.5;22.2;64;1017;0.0
18/05/2015;9:00:00;1;0.7;7;103;9;50;0.5;24.0;56;1017;0.0
18/05/2015;10:00:00;1;0.8;5;111;7;51;0.6;25.5;42;1017;0.0
18/05/2015;11:00:00;0;0.5;3;103;7;49;0.7;25.8;37;1017;0.0
18/05/2015;12:00:00;0;0.4;3;104;10;51;0.6;25.5;40;1016;0.0
18/05/2015;13:00:00;1;0.4;3;103;5;52;0.7;25.2;35;1016;0.0
18/05/2015;14:00:00;0;0.6;3;110;;50;0.6;25.0;31;1015;0.0
18/05/2015;15:00:00;0;0.5;3;112;6;49;0.6;24.8;32;1014;0.0
18/05/2015;16:00:00;0;0.6;3;107;10;54;0.4;24.3;33;1013;0.0
18/05/2015;17:00:00;0;0.4;2;107;9;63;0.3;23.2;34;1013;0.0
18/05/2015;18:00:00;0;0.2;2;106;11;64;0.2;22.1;39;1012;0.0
18/05/2015;19:00:00;0;0.3;3;99;9;74;0.2;20.9;57;1012;0.0
