Fecha;BEN;CO;EBN;NO;NO2;NOX;O3;PM10;SO2;TOL
21/06/2015;0.01;0.1;null(null);2.1;6.3;9.3;72.0;19.0;1.5;0.01
22/06/2015;0.01;0.1;null(null);4.4;12.0;19.0;63.0;21.0;2.2;0.01
23/06/2015;0.01;0.1;null(null);2.9;11.0;16.0;57.0;25.0;1.2;0.01
24/06/2015;0.01;0.1;null(null);7.0;16.0;26.0;47.0;34.0;2.7;0.01
25/06/2015;0.01;0.1;null(null);14.0;13.0;35.0;46.0;18.0;4.4;0.01
26/06/2015;0.01;0.1;null(null);5.1;9.4;17.0;45.0;14.0;3.3;0.01
27/06/2015;0.01;0.1;null(null);2.3;5.4;9.0;42.0;10.0;1.0;0.01
28/06/2015;0.01;0.1;null(null);1.5;3.4;5.8;49.0;15.0;1.0;0.01
29/06/2015;0.01;0.1;null(null);6.1;21.0;31.0;50.0;24.0;4.8;0.01
30/06/2015;0.01;0.1;null(null);3.1;11.0;15.0;53.0;17.0;1.0;0.01
1/05/2015;null(null);0.13;null(null);1.9;4.1;6.9;49.0;3.0;1.0;null(null)
2/05/2015;null(null);0.11;null(null);2.1;2.6;5.7;49.0;3.5;1.0;null(null)
3/05/2015;null(null);0.14;null(null);1.9;3.3;6.1;66.0;7.5;1.3;null(null)
4/05/2015;null(null);0.11;null(null);5.0;11.0;19.0;54.0;9.2;1.3;null(null)
5/05/2015;null(null);0.1;null(null);2.1;5.4;8.8;90.0;20.0;1.3;null(null)
6/05/2015;null(null);0.1;null(null);4.0;12.0;18.0;69.0;13.0;1.7;null(null)
7/05/2015;null(null);0.12;null(null);5.4;20.0;28.0;56.0;9.6;2.0;null(null)
8/05/2015;null(null);0.12;null(null);2.4;8.8;12.0;68.0;8.7;1.2;null(null)
9/05/2015;null(null);0.12;null(null);1.9;5.1;7.9;67.0;8.2;1.4;null(null)
10/05/2015;null(null);0.11;null(null);2.3;10.0;14.0;57.0;14.0;2.8;null(null)
11/05/2015;null(null);0.16;null(null);4.2;12.0;18.0;60.0;17.0;1.9;null(null)
12/05/2015;null(null);0.15;null(null);10.0;25.0;41.0;59.0;25.0;7.3;null(null)
13/05/2015;null(null);0.11;null(null);2.1;6.9;10.0;74.0;19.0;2.0;null(null)
14/05/2015;null(null);0.14;null(null);1.6;3.1;5.8;78.0;20.0;1.1;null(null)
15/05/2015;null(null);0.13;null(null);1.6;2.6;4.9;82.0;21.0;1.0;null(null)
16/05/2015;null(null);0.1;null(null);1.9;3.0;5.8;63.0;14.0;1.0;null(null)
17/05/2015;null(null);0.1;null(null);1.9;1.9;4.7;54.0;16.0;1.0;null(null)
18/05/2015;null(null);0.1;null(null);1.8;2.3;4.7;69.0;9.2;1.0;null(null)
19/05/2015;null(null);0.11;null(null);1.7;2.5;4.7;81.0;12.0;1.0;null(null)
20/05/2015;null(null);0.1;null(null);1.8;2.8;5.3;80.0;17.0;1.0;null(null)
21/05/2015;null(null);0.1;null(null);2.9;7.1;12.0;71.0;15.0;1.3;null(null)
22/05/2015;null(null);0.12;null(null);2.8;12.0;16.0;70.0;20.0;1.1;null(null)
23/05/2015;null(null);0.1;null(null);2.0;2.3;5.2;57.0;10.0;1.2;null(null)
24/05/2015;null(null);0.12;null(null);1.8;1.5;3.9;51.0;10.0;1.0;null(null)
25/05/2015;null(null);0.11;null(null);1.9;2.5;5.5;61.0;9.8;1.0;null(null)
26/05/2015;null(null);0.1;null(null);1.9;3.2;6.3;64.0;13.0;1.0;null(null)
27/05/2015;null(null);0.12;null(null);2.3;4.3;7.6;74.0;22.0;1.5;null(null)
28/05/2015;null(null);0.1;null(null);1.8;3.8;6.6;80.0;16.0;1.0;null(null)
29/05/2015;0.01;0.1;null(null);2.2;5.5;8.5;70.0;8.9;1.1;0.01
30/05/2015;0.01;0.12;null(null);2.4;5.4;8.9;48.0;8.3;1.9;0.01
31/05/2015;0.01;0.15;null(null);2.3;5.3;9.0;38.0;6.5;1.1;0.01
1/02/2015;null(null);0.1;null(null);3.5;4.4;9.4;73.0;5.1;1.0;null(null)
2/02/2015;null(null);0.1;null(null);4.4;7.5;14.0;66.0;3.0;1.0;null(null)
3/02/2015;null(null);0.1;null(null);1.8;6.8;9.5;71.0;2.3;1.0;null(null)
4/02/2015;null(null);0.11;null(null);3.9;22.0;27.0;47.0;3.0;1.0;null(null)
5/02/2015;null(null);0.11;null(null);8.6;30.0;43.0;36.0;9.6;1.0;null(null)
6/02/2015;null(null);0.11;null(null);3.3;17.0;22.0;50.0;2.4;1.0;null(null)
7/02/2015;null(null);0.14;null(null);2.7;14.0;18.0;47.0;12.0;1.0;null(null)
8/02/2015;null(null);0.1;null(null);2.3;9.1;13.0;57.0;15.0;1.0;null(null)
9/02/2015;null(null);0.12;null(null);2.8;15.0;20.0;61.0;15.0;2.0;null(null)
10/02/2015;null(null);0.13;null(null);27.0;42.0;84.0;31.0;19.0;3.8;null(null)
11/02/2015;null(null);0.14;null(null);25.0;38.0;76.0;29.0;19.0;5.3;null(null)
12/02/2015;null(null);0.1;null(null);8.6;30.0;43.0;40.0;13.0;4.4;null(null)
13/02/2015;null(null);0.1;null(null);3.1;9.4;14.0;74.0;6.5;4.4;null(null)
14/02/2015;null(null);0.11;null(null);1.6;6.6;9.0;72.0;9.5;3.5;null(null)
15/02/2015;null(null);0.1;null(null);2.0;4.3;7.2;71.0;5.7;4.0;null(null)
16/02/2015;null(null);0.1;null(null);2.2;6.3;9.2;69.0;7.6;3.9;null(null)
17/02/2015;null(null);0.1;null(null);2.5;13.0;17.0;64.0;12.0;4.0;null(null)
18/02/2015;null(null);0.11;null(null);4.5;22.0;29.0;52.0;11.0;4.1;null(null)
19/02/2015;null(null);0.1;null(null);7.6;32.0;43.0;31.0;23.0;4.3;null(null)
20/02/2015;null(null);0.12;null(null);5.5;17.0;25.0;53.0;6.4;4.5;null(null)
21/02/2015;null(null);0.1;null(null);1.8;5.0;7.6;74.0;8.0;4.1;null(null)
22/02/2015;null(null);0.1;null(null);2.0;5.8;8.7;60.0;3.7;4.0;null(null)
23/02/2015;null(null);0.1;null(null);2.2;4.6;8.0;73.0;7.3;4.0;null(null)
24/02/2015;null(null);0.1;null(null);2.2;5.1;8.3;75.0;16.0;4.5;null(null)
25/02/2015;null(null);0.1;null(null);2.0;5.8;8.6;74.0;15.0;3.8;null(null)
26/02/2015;null(null);0.1;null(null);2.3;8.3;12.0;72.0;5.8;4.0;null(null)
27/02/2015;null(null);0.1;null(null);7.3;16.0;27.0;68.0;13.0;4.4;null(null)
28/02/2015;null(null);0.1;null(null);1.7;5.0;7.5;65.0;4.2;4.1;null(null)
1/10/2015;null(null);0.11;null(null);9.2;19.0;33.0;54.0;22.0;1.0;null(null)
2/10/2015;null(null);0.1;null(null);10.0;25.0;40.0;54.0;19.0;1.8;null(null)
3/10/2015;null(null);0.1;null(null);14.0;40.0;61.0;27.0;21.0;3.3;null(null)
4/10/2015;null(null);0.1;null(null);16.0;18.0;42.0;43.0;6.7;1.0;null(null)
5/10/2015;null(null);0.1;null(null);7.3;9.5;21.0;58.0;6.8;1.0;null(null)
6/10/2015;null(null);0.1;null(null);2.3;8.3;12.0;65.0;16.0;1.0;null(null)
7/10/2015;null(null);0.1;null(null);4.3;13.0;19.0;40.0;14.0;1.0;null(null)
8/10/2015;null(null);0.1;null(null);16.0;31.0;56.0;23.0;17.0;1.0;null(null)
9/10/2015;null(null);0.1;null(null);15.0;31.0;54.0;31.0;21.0;1.0;null(null)
10/10/2015;null(null);0.1;null(null);5.8;25.0;34.0;37.0;10.0;1.0;null(null)
11/10/2015;null(null);0.1;null(null);1.8;7.2;9.9;51.0;6.8;1.0;null(null)
12/10/2015;null(null);0.1;null(null);1.6;2.8;5.2;69.0;17.0;1.0;null(null)
13/10/2015;null(null);0.1;null(null);2.2;7.3;11.0;73.0;20.0;1.0;null(null)
14/10/2015;null(null);0.1;null(null);3.0;19.0;24.0;63.0;16.0;1.0;null(null)
15/10/2015;null(null);0.1;null(null);13.0;34.0;53.0;37.0;14.0;1.0;null(null)
16/10/2015;null(null);0.1;null(null);8.8;29.0;42.0;35.0;null(null);1.0;null(null)
17/10/2015;null(null);0.1;null(null);3.6;18.0;24.0;44.0;17.0;1.7;null(null)
18/10/2015;null(null);0.1;null(null);2.1;14.0;17.0;45.0;14.0;1.0;null(null)
19/10/2015;null(null);0.1;null(null);1.8;4.7;7.4;59.0;8.8;1.0;null(null)
20/10/2015;null(null);0.1;null(null);2.0;8.4;11.0;66.0;19.0;1.0;null(null)
21/10/2015;null(null);0.1;null(null);2.8;9.3;13.0;66.0;15.0;1.0;null(null)
22/10/2015;null(null);0.1;null(null);7.3;24.0;35.0;43.0;18.0;1.0;null(null)
23/10/2015;null(null);0.1;null(null);24.0;31.0;68.0;38.0;26.0;2.5;null(null)
24/10/2015;null(null);0.1;null(null);1.8;6.9;9.8;69.0;16.0;1.0;null(null)
25/10/2015;null(null);0.1;null(null);8.9;21.0;35.0;48.0;13.0;2.0;null(null)
26/10/2015;null(null);0.14;null(null);2.2;10.0;14.0;58.0;8.9;1.1;null(null)
27/10/2015;0.01;0.17;null(null);2.1;8.2;11.0;61.0;8.9;1.3;0.033
28/10/2015;0.011;0.18;null(null);2.1;7.3;10.0;66.0;10.0;1.1;0.027
29/10/2015;0.01;0.23;null(null);2.2;6.7;9.8;59.0;3.1;1.0;0.02
30/10/2015;0.011;0.21;null(null);11.0;17.0;33.0;55.0;9.8;5.0;0.012
1/03/2015;null(null);0.11;null(null);6.9;14.0;24.0;59.0;3.1;3.5;null(null)
2/03/2015;null(null);0.11;null(null);2.2;13.0;16.0;63.0;3.8;3.5;null(null)
3/03/2015;null(null);0.1;null(null);2.0;11.0;14.0;66.0;2.8;4.0;null(null)
4/03/2015;null(null);0.1;null(null);4.0;15.0;21.0;63.0;10.0;4.3;null(null)
5/03/2015;null(null);0.1;null(null);3.3;18.0;23.0;64.0;11.0;4.3;null(null)
6/03/2015;null(null);0.11;null(null);13.0;37.0;57.0;36.0;20.0;3.9;null(null)
7/03/2015;null(null);0.1;null(null);21.0;39.0;70.0;40.0;39.0;4.5;null(null)
8/03/2015;null(null);0.1;null(null);13.0;30.0;50.0;48.0;24.0;4.3;null(null)
9/03/2015;null(null);0.12;null(null);24.0;28.0;64.0;50.0;23.0;4.2;null(null)
11/03/2015;null(null);0.1;null(null);5.1;20.0;28.0;56.0;18.0;4.1;null(null)
