Fecha;Hora;SO2;NO2;NO;O3;BEN;TOL;XIL
20/08/2015;3:00:00;6;15;2;64;0;0;0
20/08/2015;4:00:00;6;15;2;62;0;0;0
20/08/2015;5:00:00;6;8;2;70;0;0;0
20/08/2015;6:00:00;7;9;2;72;0;0;0
20/08/2015;7:00:00;6;20;2;48;0;0;0
20/08/2015;8:00:00;7;32;3;37;0;0;0
20/08/2015;9:00:00;7;32;6;47;0;0;0
20/08/2015;10:00:00;8;51;7;33;0;0;0
20/08/2015;11:00:00;7;44;8;49;0;0;0
20/08/2015;12:00:00;7;49;8;56;0;0;0
20/08/2015;13:00:00;8;41;7;68;0;0;0
20/08/2015;14:00:00;8;62;10;64;0;0;0
20/08/2015;15:00:00;9;57;9;58;0;0;0
20/08/2015;16:00:00;7;30;3;73;0;0;0
20/08/2015;17:00:00;7;25;3;73;0;0;0
20/08/2015;18:00:00;7;32;5;66;0;0;0
20/08/2015;19:00:00;7;39;5;62;0;0;0
20/08/2015;20:00:00;7;27;4;70;0;0;0
20/08/2015;21:00:00;6;36;4;58;0;0;0
20/08/2015;22:00:00;6;31;3;61;0;0;0
20/08/2015;23:00:00;7;31;3;56;0;0;0
20/08/2015;0:00:00;7;22;3;65;0;0;0
21/08/2015;1:00:00;7;20;2;63;0;0;0
21/08/2015;2:00:00;6;16;2;62;0;0;0
21/08/2015;3:00:00;6;13;2;52;0;0;0
21/08/2015;4:00:00;4;11;2;50;0;0;0
21/08/2015;5:00:00;5;12;2;46;0;0;0
21/08/2015;6:00:00;4;13;2;42;0;0;0
21/08/2015;7:00:00;4;20;3;39;0;0;0
21/08/2015;8:00:00;5;30;4;31;0;0;0
21/08/2015;9:00:00;5;36;4;32;0;0;0
21/08/2015;10:00:00;5;20;3;37;0;0;0
21/08/2015;11:00:00;6;26;4;57;0;0;0
21/08/2015;12:00:00;6;33;5;53;0;0;0
21/08/2015;13:00:00;7;49;10;49;0;0;0
21/08/2015;14:00:00;3;46;8;56;0;0;0
21/08/2015;15:00:00;3;41;8;52;0;0;0
21/08/2015;16:00:00;3;25;4;57;0;0;0
21/08/2015;17:00:00;3;22;4;64;0;0;0
21/08/2015;18:00:00;3;29;5;68;0;0;0
21/08/2015;19:00:00;4;27;4;77;0;0;0
21/08/2015;20:00:00;3;34;5;78;0;0;0
21/08/2015;21:00:00;3;42;5;77;0;0;0
21/08/2015;22:00:00;3;37;5;74;0;0;0
21/08/2015;23:00:00;3;36;3;69;0;0;0
21/08/2015;0:00:00;3;32;2;68;0;0;0
22/08/2015;1:00:00;4;28;4;65;0;0;0
22/08/2015;2:00:00;2;29;4;63;0;0;0
22/08/2015;3:00:00;2;20;2;64;0;0;0
22/08/2015;4:00:00;2;16;2;60;0;0;0
22/08/2015;5:00:00;2;12;2;57;0;0;0
22/08/2015;6:00:00;2;15;3;52;0;0;0
22/08/2015;7:00:00;2;17;2;51;0;0;0
22/08/2015;8:00:00;2;22;3;44;0;0;0
