Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
11/06/2015;8:00:00;;1.5;9;33;84;118;0.3;23.7;1003;0.0
11/06/2015;9:00:00;;0.7;6;25;85;122;0.8;25.0;1003;0.0
11/06/2015;10:00:00;;0.5;5;23;83;130;0.9;25.8;1003;0.0
11/06/2015;11:00:00;;0.9;5;20;83;129;0.9;26.3;1003;0.0
11/06/2015;12:00:00;;1.0;5;22;70;125;1.0;26.4;1002;0.0
11/06/2015;13:00:00;;1.0;4;29;74;120;1.0;26.6;1002;0.0
11/06/2015;14:00:00;;0.6;4;43;71;106;0.8;26.9;1001;0.0
11/06/2015;15:00:00;;0.1;2;53;74;142;0.8;27.6;1001;0.0
11/06/2015;16:00:00;;0.4;4;56;75;127;0.7;27.5;1000;0.0
11/06/2015;17:00:00;;0.5;6;64;74;114;0.6;26.2;1000;0.0
11/06/2015;18:00:00;;0.3;5;64;75;95;0.4;25.8;1000;0.0
11/06/2015;19:00:00;;0.7;6;56;71;64;0.2;25.2;1000;0.0
11/06/2015;20:00:00;;0.6;8;51;67;61;0.1;24.6;1000;0.0
11/06/2015;21:00:00;;0.1;5;56;63;130;0.2;24.3;1000;0.0
11/06/2015;22:00:00;;0.1;5;49;57;105;0.1;23.5;1001;0.0
11/06/2015;23:00:00;;0.3;7;45;58;99;0.1;22.9;1001;0.0
11/06/2015;0:00:00;;0.2;5;45;49;60;0.0;22.2;1001;0.0
12/06/2015;1:00:00;;0.0;3;40;58;204;0.2;21.9;1000;0.0
12/06/2015;2:00:00;;0.0;3;45;51;127;0.2;21.7;1000;0.0
12/06/2015;3:00:00;;0.0;5;42;46;334;0.1;21.6;1000;0.0
12/06/2015;4:00:00;;0.0;3;25;39;314;0.2;21.1;1000;0.0
12/06/2015;5:00:00;;0.0;1;26;72;211;0.5;22.1;1000;0.0
12/06/2015;6:00:00;;0.0;1;39;79;221;0.8;22.6;1000;0.0
12/06/2015;7:00:00;;0.0;1;41;83;193;2.0;23.1;1000;0.0
12/06/2015;8:00:00;;0.2;8;91;51;243;1.1;22.4;1002;0.0
12/06/2015;9:00:00;;0.4;8;81;59;260;0.7;22.7;1002;0.0
12/06/2015;10:00:00;;0.1;6;90;63;231;0.3;23.2;1002;0.0
12/06/2015;11:00:00;;0.1;6;72;62;294;0.2;23.7;1002;0.0
12/06/2015;12:00:00;;1.2;11;59;53;256;0.1;23.8;1003;
12/06/2015;13:00:00;;1.2;7;28;68;98;0.5;24.5;1002;
12/06/2015;14:00:00;;0.1;5;11;81;242;0.9;25.7;1002;
