Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;LL;PRB;TMP;BEN;TOL;XIL
03/05/2015;11:00:00;8;5.75;10.5;8.5;51.25;n;n;n;n;n;n;n;n
03/05/2015;12:00:00;6;4.75;9.25;7.75;57.75;n;n;n;n;n;n;n;n
03/05/2015;13:00:00;12;4.5;13.25;9;55.5;n;n;n;n;n;n;n;n
03/05/2015;14:00:00;12;4.75;11;8.75;62.25;n;n;n;n;n;n;n;n
03/05/2015;15:00:00;6;4.75;11.25;6.5;64.5;n;n;n;n;n;n;n;n
03/05/2015;16:00:00;7;4.25;7.25;5.25;66;n;n;n;n;n;n;n;n
03/05/2015;17:00:00;6;4.5;9.25;5.5;64.75;n;n;n;n;n;n;n;n
03/05/2015;19:00:00;7;4.75;10.25;5.25;70.25;n;n;n;n;n;n;n;n
03/05/2015;20:00:00;12.75;5.25;11.75;5.5;66.5;n;n;n;n;n;n;n;n
03/05/2015;21:00:00;9;6.75;16.5;5.5;57.5;n;n;n;n;n;n;n;n
03/05/2015;22:00:00;10;6;15.75;5.75;46;n;n;n;n;n;n;n;n
