Fecha;CO;NO;NO2;PM10;SO2
01/05/2015;0.3;6;10;8;2
02/05/2015;0.3;6;7;12;1
03/05/2015;0.2;5;7;11;1
04/05/2015;0.2;9;15;17;2
05/05/2015;0.3;9;13;9;2
06/05/2015;0.4;11;21;14;4
07/05/2015;0.4;13;23;17;3
08/05/2015;0.2;9;12;11;2
09/05/2015;0.3;10;19;15;3
10/05/2015;0.3;7;18;19;3
11/05/2015;0.3;16;27;29;4
12/05/2015;0.3;14;26;30;4
13/05/2015;0.3;13;23;41;2
14/05/2015;0.3;8;15;23;2
15/05/2015;0.3;14;17;15;1
16/05/2015;0.3;8;13;16;2
17/05/2015;0.2;6;9;12;2
18/05/2015;0.2;16;18;18;3
19/05/2015;0.3;15;19;15;3
20/05/2015;0.3;12;15;12;1
21/05/2015;0.4;12;19;15;2
22/05/2015;0.4;14;24;18;4
23/05/2015;0.2;6;14;16;3
24/05/2015;0.2;4;10;10;3
25/05/2015;0.3;14;21;15;5
26/05/2015;0.3;12;23;17;6
27/05/2015;0.3;9;19;14;4
28/05/2015;0.3;12;23;20;5
29/05/2015;0.3;15;29;22;7
30/05/2015;0.3;7;19;16;6
31/05/2015;0.3;8;20;19;7
01/06/2015;0.3;17;30;21;12
02/06/2015;0.3;13;31;17;13
03/06/2015;0.4;13;30;29;8
04/06/2015;0.3;5;23;27;5
05/06/2015;0.3;11;31;20;6
06/06/2015;0.2;6;18;19;4
07/06/2015;0.3;3;15;19;5
08/06/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;12
09/06/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;16
10/06/2015;0.3;4;20;12;4
11/06/2015;0.2;7;19;22;5
12/06/2015;0.1;10;21;21;5
13/06/2015;0.3;5;15;14;6
14/06/2015;0.2;5;16;10;6
15/06/2015;0.2;11;22;12;8
16/06/2015;0.3;14;29;20;14
17/06/2015;0.2;10;23;19;7
18/06/2015;0.3;10;19;15;6
19/06/2015;0.3;11;21;18;6
20/06/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5;19;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4
21/06/2015;;5;19;;6
22/06/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;13;34;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;17
23/06/2015;0.3;9;27;27;10
24/06/2015;0.3;6;21;21;8
25/06/2015;0.2;10;29;22;8
26/06/2015;0.4;11;30;25;11
27/06/2015;0.4;6;27;26;9
28/06/2015;0.2;5;24;20;12
29/06/2015;0.4;11;35;28;10
30/06/2015;0.2;8;31;34;10
01/07/2015;0.3;9;25;27;6
02/07/2015;0.4;9;21;15;5
03/07/2015;0.3;11;29;22;10
04/07/2015;0.4;6;20;19;9
05/07/2015;0.3;4;17;18;6
06/07/2015;0.4;10;27;24;9
07/07/2015;0.3;9;27;24;12
08/07/2015;0.3;10;29;24;11
09/07/2015;0.2;9;24;18;5
10/07/2015;0.2;11;36;29;17
11/07/2015;0.2;6;27;25;16
12/07/2015;0.2;7;34;25;23
13/07/2015;0.3;9;38;26;13
14/07/2015;0.4;8;34;24;11
15/07/2015;0.4;9;33;29;10
16/07/2015;0.3;9;26;35;7
17/07/2015;0.3;9;28;29;5
18/07/2015;0.2;4;17;23;6
19/07/2015;0.2;3;11;12;4
20/07/2015;0.3;9;33;23;12
21/07/2015;0.4;11;33;27;16
22/07/2015;0.3;9;22;20;7
23/07/2015;0.3;9;23;15;5
24/07/2015;0.3;8;24;25;11
25/07/2015;0.3;5;23;13;7
26/07/2015;0.3;3;12;21;5
27/07/2015;0.2;7;17;24;7
28/07/2015;0.2;9;18;21;5
29/07/2015;0.2;8;17;14;6
30/07/2015;0.2;10;17;10;6
31/07/2015;0.3;14;29;11;12
01/08/2015;0.2;5;20;11;4
02/08/2015;0.2;4;20;14;4
03/08/2015;0.3;18;41;29;18
04/08/2015;0.4;15;35;19;9
05/08/2015;0.2;10;28;15;5
06/08/2015;0.2;8;23;18;5
07/08/2015;0.2;11;23;15;8
08/08/2015;0.2;7;24;14;13
09/08/2015;0.2;5;19;14;6
10/08/2015;0.3;11;38;22;14
11/08/2015;0.5;13;48;42;22
12/08/2015;0.3;9;27;38;8
13/08/2015;0.2;4;9;8;4
14/08/2015;0.2;12;21;8;7
15/08/2015;;4;9;;2
16/08/2015;;4;10;;3
