Fecha;Hora;SO2;NO;NO2;PM10;dd;vv;TMP;O3
13/06/2015;7:00:00;0;0.1;7;;133;0.9;22.0;49
13/06/2015;8:00:00;0;0.3;4;;132;1.3;23.8;56
13/06/2015;9:00:00;0;0.5;2;;119;2.3;24.2;58
13/06/2015;10:00:00;0;3.2;8;;117;2.2;24.5;56
13/06/2015;11:00:00;0;4.5;10;;115;2.3;25.1;56
13/06/2015;12:00:00;0;2.3;8;;103;2.2;26.4;61
13/06/2015;13:00:00;0;0.5;2;;99;2.3;26.3;71
13/06/2015;14:00:00;0;-0.1;0;;106;2.7;26.0;74
13/06/2015;15:00:00;0;-0.1;0;;97;2.7;25.6;74
13/06/2015;16:00:00;0;1.0;4;;104;2.5;25.3;69
13/06/2015;17:00:00;0;4.9;13;;129;2.7;25.4;59
13/06/2015;18:00:00;0;-0.1;0;;143;2.5;25.4;65
13/06/2015;19:00:00;0;-0.1;1;;143;2.6;24.8;66
13/06/2015;20:00:00;0;-0.1;0;;153;2.1;23.7;82
13/06/2015;21:00:00;0;-0.1;1;;152;1.8;23.0;80
13/06/2015;22:00:00;0;-0.1;2;;156;0.9;22.5;82
13/06/2015;23:00:00;0;-0.1;3;;113;0.7;22.0;77
13/06/2015;0:00:00;0;-0.1;6;;12;0.2;20.8;61
14/06/2015;1:00:00;0;-0.1;8;;180;0.1;19.3;42
14/06/2015;2:00:00;0;-0.1;7;;181;0.1;18.6;30
14/06/2015;3:00:00;0;0.0;6;;188;0.2;18.1;21
14/06/2015;4:00:00;0;-0.1;7;;203;0.2;18.1;23
14/06/2015;5:00:00;0;-0.1;6;;217;0.1;17.7;17
14/06/2015;6:00:00;0;-0.1;6;;217;0.2;17.5;14
14/06/2015;7:00:00;0;0.1;5;;205;0.2;20.0;35
14/06/2015;8:00:00;0;-0.1;2;;180;0.7;24.0;69
14/06/2015;9:00:00;0;-0.1;1;;202;1.7;25.3;70
14/06/2015;10:00:00;0;0.8;4;;196;2.2;25.2;67
14/06/2015;11:00:00;0;0.1;2;;205;2.0;26.1;81
14/06/2015;12:00:00;0;-0.1;1;;203;2.1;27.1;90
14/06/2015;13:00:00;0;-0.1;0;;207;2.3;27.9;94
14/06/2015;14:00:00;0;-0.1;0;;211;1.7;27.9;96
14/06/2015;15:00:00;0;-0.1;1;;153;2.0;28.5;93
14/06/2015;16:00:00;0;-0.1;1;;138;2.9;28.1;91
14/06/2015;17:00:00;0;-0.1;0;;139;3.1;26.6;94
14/06/2015;18:00:00;0;-0.1;0;;143;3.8;24.0;93
