Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;LL;RS;TMP;vv
22/03/2015;0.32;5;24;18;73;10;;4;353;89;971.5;8;16.8;7;2.17
21/03/2015;0.36;5;27;23;57;8;;4;322;92;972.1;7.7;19.6;6.9;0.81
20/03/2015;0.38;6;27;26;64;19;;4;340;90;976.1;2.1;15.8;7.8;1.31
19/03/2015;0.38;6;40;34;68;20;13;5;7;83;978.1;3.7;100;10.1;0.58
18/03/2015;0.36;10;83;48;76;24;10;5;43;59;978.3;0.1;81.5;11.9;0.41
17/03/2015;0.4;9;94;44;83;22;11;5;156;49;975.8;0;183.2;11.7;1.25
16/03/2015;0.4;13;67;52;61;30;;5;280;77;976.4;0;71.8;7.2;0.7
15/03/2015;0.28;5;23;22;67;14;;4;285;87;978.2;5.6;45;5.1;1.42
14/03/2015;0.29;5;19;20;80;10;5;4;284;88;981.8;25.7;35.5;5.3;2.98
13/03/2015;0.16;6;27;23;78;23;9;4;294;79;983.8;10.5;85.9;8.4;2.88
12/03/2015;0.33;7;44;33;80;37;22;5;290;74;980.6;0;149.2;11.6;0.93
11/03/2015;0.5;13;58;52;63;47;27;7;281;78;984.4;0;147.8;10.6;1.18
10/03/2015;0.4;17;75;68;77;51;25;9;296;57;984.3;0;169.5;12.3;0.29
09/03/2015;0.48;20;83;79;69;69;36;14;273;56;984.4;0;163.1;11.4;0.46
08/03/2015;0.33;12;59;53;89;31;11;12;283;51;984.4;0;164.5;11.5;1.07
07/03/2015;0.47;11;52;48;71;41;21;14;266;59;986.4;0;169.9;12.7;0.65
06/03/2015;0.37;29;61;85;48;50;23;11;222;67;989.8;0;166.1;8.6;0.47
05/03/2015;0.34;6;52;28;82;23;8;6;6;68;995.5;0.6;157.7;6.4;1.93
04/03/2015;0.21;5;33;20;79;10;;4;322;81;992.3;12.9;67.3;7.1;2.95
03/03/2015;0.44;19;59;59;52;26;11;4;33;93;982.7;5.1;40.9;10.3;0.77
02/03/2015;0.25;10;43;37;54;6;3;4;310;90;981;6.2;38.5;12.2;0.94
01/03/2015;0.49;6;34;30;40;10;5;4;233;86;978.4;0.6;58.2;13.6;0.54
28/02/2015;0.46;7;45;35;59;12;6;4;248;94;980.2;13.9;38.1;7.8;0.21
27/02/2015;0.3;4;26;20;86;8;3;4;317;82;983.2;16.3;84.3;6.5;2.61
26/02/2015;0.23;6;34;23;70;7;4;4;286;90;982.2;30.5;39.1;10.7;3.75
25/02/2015;0.24;5;18;19;74;7;3;4;284;89;984.8;62.6;20.9;9;4.95
24/02/2015;0.25;5;23;21;77;8;2;4;290;87;981.1;44.1;24.8;5.1;3.48
23/02/2015;0.38;10;47;37;73;11;4;4;290;87;971.1;18.8;52.3;8.8;2.11
22/02/2015;0.29;4;38;18;83;8;2;4;292;87;972.9;17.9;47.5;6.7;1.6
21/02/2015;0.22;4;14;15;82;6;;4;286;83;968.4;29.8;44.1;6.4;3.03
20/02/2015;0.63;22;71;72;52;45;;10;219;73;976.3;8.5;55.2;8;1.7
19/02/2015;0.38;37;77;102;46;48;24;8;234;71;987.7;0.2;126.4;7.1;1.3
18/02/2015;0.45;14;64;50;70;21;9;5;337;70;993.3;0;64.4;5.5;0.72
17/02/2015;0.33;4;20;17;80;11;3;4;328;82;990.6;28.6;17.6;6.6;3.1
16/02/2015;0.33;7;71;34;64;12;3;4;289;89;978.1;20.1;32;8;1.81
15/02/2015;0.32;3;20;18;70;6;2;4;310;91;970.2;22.7;25;8.9;1.17
14/02/2015;0.31;6;51;36;54;14;;6;309;87;971.3;10.9;23.8;7.2;0.32
13/02/2015;0.34;9;57;42;68;37;19;7;236;67;975.9;0.2;100.9;8.9;2.48
12/02/2015;0.52;22;72;76;64;43;22;13;192;68;977.5;0;107;8.3;0.93
11/02/2015;0.69;18;95;66;69;50;28;13;202;70;979.1;0;52.6;5.6;1.05
10/02/2015;0.58;38;102;114;60;63;36;15;189;66;981.7;0;112.3;5;0.59
09/02/2015;0.37;22;76;69;65;34;14;5;359;70;986.1;2.1;108.8;3.7;0.8
08/02/2015;0.32;4;21;20;61;19;13;4;308;79;986.8;7.6;40.1;2.6;2.06
07/02/2015;0.39;6;35;31;42;21;15;4;324;84;979.3;3.1;38.1;1;0.26
06/02/2015;0.38;9;54;37;66;12;7;4;5;84;971.9;0.1;11.3;0.2;1.09
05/02/2015;0.29;5;20;21;67;10;4;4;15;77;974.4;10;35.7;2.1;3.6
04/02/2015;0.29;8;65;38;56;28;;5;353;84;966.8;4;38.5;0.6;1.65
03/02/2015;0.35;7;53;38;60;9;;4;297;89;959.3;19.1;43.6;3;0.76
02/02/2015;0.38;9;69;49;68;11;6;4;145;90;964.1;8.4;51.1;4.3;0.44
01/02/2015;0.22;4;22;18;75;9;2;4;271;87;968.5;25.6;48;3.1;4.23
31/01/2015;0.19;4;18;16;75;9;3;4;283;88;955.1;44;26.3;4.7;3.96
30/01/2015;0.16;6;61;31;76;6;3;4;290;89;954;91.7;6.4;7.6;3.36
29/01/2015;0.4;18;78;59;52;17;;4;286;79;966.5;13.5;38;9.9;2.08
28/01/2015;0.32;8;71;43;68;13;6;4;292;90;982.6;4;15.3;8;1.28
27/01/2015;0.26;4;28;23;66;9;3;4;300;88;988.4;7.8;28.3;7.8;2.83
26/01/2015;0.32;9;61;44;54;23;8;4;309;80;990.1;0;25.7;6.3;0.96
25/01/2015;0.31;2;35;18;67;17;5;4;321;73;990.9;0.1;63.9;5.4;1.24
24/01/2015;0.37;8;51;38;56;25;11;5;275;85;987.9;3.1;47.4;4.9;2
23/01/2015;0.35;9;53;44;56;19;9;4;292;84;983.6;1.4;43;4.9;1.52
22/01/2015;0.17;;24;;52;;;;;;;;;;
21/01/2015;0;;0;;0;;;;;;;;;;
20/01/2015;0;;0;;0;;;;;;;;;;
19/01/2015;0.24;;21;;61;;;;;;;;;;
18/01/2015;0.43;4;30;20;60;10;6;4;141;70;968.9;6.6;34;5.1;1.64
17/01/2015;0.42;8;59;39;66;17;7;4;265;79;978.2;2.3;65.3;5.5;0.49
16/01/2015;0.31;8;62;37;65;10;4;4;279;86;969.8;14.7;31.6;5.9;2.03
15/01/2015;0.22;4;22;18;65;12;6;4;181;60;969.7;2.7;9.2;11.4;3.37
14/01/2015;0.43;28;76;71;61;30;10;5;204;62;980.7;0;76.9;10.9;1.05
13/01/2015;0.35;6;34;33;50;23;;5;229;55;980.1;0;43.4;11.8;1.94
12/01/2015;0.6;27;68;84;43;35;17;13;200;73;986.8;0.1;79.6;7.5;0.85
11/01/2015;0.35;6;43;28;73;16;8;5;315;88;991.9;4.3;25.5;8.9;1.38
10/01/2015;0.37;20;37;59;25;35;21;7;328;84;992.4;0;74.7;10.4;0.08
09/01/2015;0.48;48;57;115;22;64;37;;243;81;999.6;0;71;10.4;1.17
08/01/2015;0.49;51;69;127;11;58;31;;230;81;995.5;0;56.1;7.9;0.45
07/01/2015;0.39;34;56;91;32;43;26;;251;84;989;0;65.1;8.3;1.1
06/01/2015;0.35;7;48;38;44;23;13;5;277;86;985.6;0.1;15.4;8.9;0.54
05/01/2015;0.46;27;52;76;34;26;;;237;81;985.8;0.1;73.2;8.9;1.01
04/01/2015;0.52;9;51;41;43;15;;5;280;87;993.5;0.2;26.8;10.7;0.7
03/01/2015;0.45;33;61;96;47;58;;;250;61;994.7;0;72.4;8.8;1.24
02/01/2015;0.43;79;83;180;31;27;;7;245;58;995.9;0;61.4;6.5;1.4
01/01/2015;0.3;47;61;120;31;14;;6;239;60;993.8;0;74.3;4.4;1.14
