Fecha;NO;NO2;O3;PM10;SO2
14/02/2015;1;2;71;9;1
15/02/2015;1;1;64;7;1
16/02/2015;1;4;59;9;1
17/02/2015;1;3;75;11;1
18/02/2015;6;15;44;19;2
19/02/2015;3;23;54;20;2
20/02/2015;4;15;45;16;2
21/02/2015;1;2;59;8;1
22/02/2015;1;2;52;10;2
23/02/2015;1;2;49;10;2
24/02/2015;1;2;52;10;1
25/02/2015;1;3;48;13;1
26/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/03/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
03/03/2015;3;10;30;14;1
04/03/2015;1;3;49;12;1
05/03/2015;2;11;46;18;2
06/03/2015;7;23;32;19;3
07/03/2015;6;20;33;13;2
08/03/2015;2;18;35;19;2
09/03/2015;6;20;34;18;2
10/03/2015;6;18;36;16;2
11/03/2015;8;19;38;20;3
12/03/2015;4;12;38;25;2
13/03/2015;1;9;37;36;1
14/03/2015;1;5;47;12;1
15/03/2015;1;11;41;18;1
16/03/2015;3;15;39;22;1
17/03/2015;1;15;45;27;2
18/03/2015;1;12;45;16;2
19/03/2015;2;13;38;20;1
20/03/2015;2;14;37;22;1
21/03/2015;1;6;36;11;1
22/03/2015;1;7;35;12;2
23/03/2015;2;11;33;15;2
24/03/2015;1;6;38;10;1
25/03/2015;1;3;47;10;1
26/03/2015;2;5;37;10;1
27/03/2015;1;6;33;12;1
28/03/2015;4;9;34;13;1
29/03/2015;1;4;43;10;1
30/03/2015;3;10;45;11;2
31/03/2015;3;12;44;13;2
