Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
13/07/2015;0.8;122;27.6;74;1017;326;0;3;0.1;2;8;30;8;62
14/07/2015;0.8;100;28.2;68;1017;327;0;3;0.1;2;7;23;7;67
15/07/2015;1;56;28.6;59;1016;322;0;3;0.1;2;4;32;6;76
16/07/2015;0.9;61;29.4;47;1016;322;0;3;0.2;2;5;24;7;89
17/07/2015;1;58;29;60;1016;287;0;3;0.2;2;4;28;6;72
18/07/2015;1.2;134;28.2;68;1016;310;0;4;0.2;2;4;26;6;67
19/07/2015;0.8;119;27.7;75;1015;255;0;4;0.1;2;4;27;6;62
20/07/2015;1;108;28.2;76;1015;297;0;3;0.1;3;4;32;7;59
21/07/2015;0.9;105;28.6;68;1015;317;0;3;0.1;2;4;28;6;57
22/07/2015;1.1;61;28.8;70;1015;255;0;3;0.2;2;5;29;7;68
23/07/2015;1;130;29.1;67;1015;314;0;3;0.2;;;26;;76
24/07/2015;1.1;91;30.2;70;1013;313;0;3;0.2;3;4;38;7;75
25/07/2015;1.7;84;29.7;68;1014;298;0;3;0.2;2;4;33;6;78
26/07/2015;1.1;118;28.9;76;1015;309;0;3;0.2;2;4;30;6;73
27/07/2015;1.4;6;29.2;;1014;206;0;4;0.1;;;37;;62
28/07/2015;1.2;92;29.2;77;1014;280;0;4;0.1;;;31;;63
29/07/2015;0.4;106;29;70;1013;279;0;3;0.1;;;27;;58
30/07/2015;1.1;74;29.2;76;1013;220;0.6;3;0.1;;;25;;60
31/07/2015;1.4;81;28.4;76;1013;186;0.2;3;0.1;;;23;;61
01/08/2015;2.1;53;28.2;68;1014;286;0;3;0.2;;;27;;77
02/08/2015;0.7;65;28.4;61;1016;240;0;4;0.1;2;5;23;7;86
03/08/2015;0.8;31;29.5;50;1016;281;0;3;0.1;3;9;29;12;70
04/08/2015;0.7;75;29;60;1015;286;0;3;0.1;3;7;29;10;73
05/08/2015;0.6;88;29;69;1015;284;0;3;0.1;3;4;25;7;77
06/08/2015;0.6;91;29.5;71;1015;238;0;3;0.2;2;4;29;6;73
07/08/2015;0.9;69;30;67;1015;212;0;3;0.2;2;4;47;6;62
08/08/2015;0.6;74;29.5;67;1016;135;0;3;0.1;2;4;37;6;67
09/08/2015;1.1;69;28.1;75;1017;190;0.8;3;0.1;2;7;30;8;72
10/08/2015;1.1;103;29;77;1015;266;0.4;4;0.1;;;38;;64
11/08/2015;0.8;107;28.7;78;1015;226;0;3;0.1;;;30;;73
12/08/2015;0.8;80;29.2;;1016;278;0;4;0.1;;;34;;64
13/08/2015;1.3;275;31.7;36;1015;308;0;4;0.1;;;37;;60
14/08/2015;1.6;50;28.8;39;1015;308;0;4;0.1;;;;;82
15/08/2015;1.5;46;26.8;61;1014;186;0.4;4;0.1;;;;;76
16/08/2015;0.9;103;26.3;;1015;246;1.2;3;0.1;4;5;;9;74
17/08/2015;1.3;75;28;67;1014;298;0;3;0.1;3;5;;9;78
18/08/2015;1.4;73;27.9;68;1014;225;0;3;0.1;2;4;;6;75
19/08/2015;1.1;84;28;67;1016;266;0;3;0.1;3;5;;8;67
20/08/2015;0.9;62;27.7;68;1018;257;0;3;0.1;5;4;;10;72
21/08/2015;1;57;27.4;64;1018;271;0;4;0.1;4;4;;9;77
22/08/2015;0.9;57;27.2;70;1015;288;0;3;0.1;3;4;15;7;70
23/08/2015;1.1;246;29;52;1013;273;0;3;0.1;3;4;;7;62
24/08/2015;1.4;274;28.9;38;1014;298;0;3;0.1;2;4;;6;69
25/08/2015;1.5;51;27.3;55;1017;282;0;3;0.1;2;5;27;7;74
26/08/2015;1;51;27.1;66;1016;274;0;4;0.1;2;6;;8;67
27/08/2015;0.8;86;27;66;1016;291;0;4;0.1;2;7;20;9;64
28/08/2015;0.9;50;27.3;68;1016;284;0;4;0.1;2;5;25;7;58
29/08/2015;1.4;47;27.6;69;1017;283;0;3;0.1;2;6;24;7;65
30/08/2015;1;55;28.1;70;1016;188;0;3;0.1;2;8;36;8;68
31/08/2015;0.7;84;27.9;76;1016;201;0.6;3;0.1;3;11;42;14;56
