Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
07/08/2015;9:00:00;28;11;27;3;27;136;0.2;32;0;0;22
07/08/2015;10:00:00;45;6;23;3;45;271;0.6;39.5;0;0;24.7
07/08/2015;11:00:00;61;5;17;2;58;246;0.7;33.8;0;0;27.3
07/08/2015;12:00:00;67;5;12;2;71;217;0.4;28.3;0;0;30.1
07/08/2015;13:00:00;57;7;11;2;77;227;0.4;23;0;0;32.5
07/08/2015;14:00:00;51;5;7;2;82;244;1.3;18.3;0;0;33.8
07/08/2015;15:00:00;43;4;6;2;81;244;1.7;16.7;0;0;34.8
07/08/2015;16:00:00;59;5;7;2;77;245;1.2;15.8;0;0;35.4
07/08/2015;17:00:00;75;5;7;2;79;252;1.8;15.8;0;0;35.9
07/08/2015;18:00:00;74;4;7;2;81;272;1.8;15;0;0;36
07/08/2015;19:00:00;80;4;8;2;83;271;1.8;15;0;0;35.7
07/08/2015;20:00:00;103;4;14;2;83;263;2.2;15;0;0;34.8
07/08/2015;21:00:00;100;4;19;2;74;269;1.2;15.8;0;0;34.1
07/08/2015;22:00:00;82;3;4;2;68;348;0.7;21.5;0;0;32.8
07/08/2015;23:00:00;145;3;2;2;67;134;1;26.8;0;0;31.2
07/08/2015;0:00:00;193;3;8;2;69;228;0.7;23;0;0;30.8
08/08/2015;1:00:00;128;4;4;2;110;299;1.1;20.8;0;0;29.6
08/08/2015;2:00:00;90;6;6;2;88;191;0.2;22;0;0;28.6
08/08/2015;3:00:00;89;6;13;2;82;224;0.2;22.5;0;0;27.7
08/08/2015;4:00:00;96;6;16;2;70;86;0.2;24;0;0;27.1
08/08/2015;5:00:00;88;5;8;2;52;88;0.2;30.5;0;0;26
08/08/2015;6:00:00;96;4;5;2;32;219;0.3;40.5;0;0;25.7
08/08/2015;7:00:00;75;4;5;2;32;135;0.5;43.8;0;0;25
08/08/2015;8:00:00;76;4;21;2;22;232;0.4;46;0;0;24.3
08/08/2015;9:00:00;68;4;35;6;16;115;0.2;46;0;0;24.2
08/08/2015;10:00:00;77;4;15;2;27;42;0.3;45.3;0;0;24.6
08/08/2015;11:00:00;83;4;7;2;38;105;0.6;42;0;0;26.5
08/08/2015;12:00:00;72;4;5;2;52;175;0.3;37;0;0;27.5
08/08/2015;13:00:00;77;6;7;2;72;189;0.3;27;0;0;29.7
08/08/2015;14:00:00;76;5;4;2;77;282;0.5;26.3;0;0;30.8
08/08/2015;15:00:00;73;5;2;2;69;185;1.7;30;0;0;31.8
08/08/2015;16:00:00;76;4;2;2;70;207;1.1;28;0;0;33.2
08/08/2015;17:00:00;78;4;3;2;77;247;2.2;22.8;0;0;34.2
08/08/2015;18:00:00;84;4;2;2;81;256;2.3;20.8;0;0;34.3
08/08/2015;19:00:00;91;4;2;2;83;274;2.2;16.8;0;0;34.7
08/08/2015;20:00:00;77;4;3;2;82;290;2.1;13.3;0;0;34.3
08/08/2015;21:00:00;56;3;7;2;85;323;1.1;17.5;0;0;32.9
08/08/2015;22:00:00;39;3;15;2;77;355;1.7;17.8;0;0;30.5
08/08/2015;23:00:00;28;3;14;2;75;4;1.7;18.5;0;0;28.9
08/08/2015;0:00:00;22;3;7;2;67;34;3.5;30;0;0;26.7
09/08/2015;1:00:00;43;4;3;2;36;43;3.7;51.5;0;0;24.3
09/08/2015;2:00:00;50;4;6;2;42;42;3.3;48;0;0;22.8
09/08/2015;3:00:00;43;4;3;2;34;43;2.6;56.8;0;0;21.2
09/08/2015;4:00:00;24;3;3;2;25;42;2.7;63.3;0;0;20
09/08/2015;5:00:00;25;3;4;2;20;39;2.6;68.3;0;0;19
09/08/2015;6:00:00;30;3;4;2;20;39;2.4;70.3;0;0;18.1
09/08/2015;7:00:00;30;3;3;2;20;40;2.4;70.8;0;0;17.3
09/08/2015;8:00:00;22;3;4;2;21;42;2.2;69.8;0;0;16.8
09/08/2015;9:00:00;21;3;2;2;24;44;2.8;67;0;0;17.3
09/08/2015;10:00:00;19;3;2;2;29;46;2.9;60.8;0;0;18.6
09/08/2015;11:00:00;21;3;2;2;39;51;2.7;51.8;0;0;20.4
09/08/2015;12:00:00;17;3;2;2;50;46;2.2;39.5;0;0;23.1
09/08/2015;13:00:00;20;3;2;2;62;48;1.3;29;0;0;25.7
09/08/2015;14:00:00;21;3;2;2;69;61;0.7;22.8;0;0;28.3
09/08/2015;15:00:00;14;4;2;2;78;22;0.3;19.3;0;0;31.1
09/08/2015;16:00:00;19;4;2;2;90;357;0.6;17;0;0;33
09/08/2015;17:00:00;25;4;2;2;93;292;0.4;16.8;0;0;34
09/08/2015;18:00:00;20;4;2;2;94;315;0.6;16.5;0;0;34.3
09/08/2015;19:00:00;26;3;2;2;91;288;0.6;16;0;0;34.9
09/08/2015;20:00:00;26;4;4;2;91;318;0.4;17;0;0;34.2
09/08/2015;21:00:00;35;4;11;2;82;254;0.2;17;0;0;33.8
09/08/2015;22:00:00;49;3;4;2;88;119;0.5;18.8;0;0;31.2
09/08/2015;23:00:00;38;4;8;2;78;116;0.5;22.8;0;0;29.3
09/08/2015;0:00:00;39;4;68;5;25;183;0.3;29;0;0;27.8
10/08/2015;1:00:00;55;4;29;2;46;47;1.3;25.5;0;0;26.5
10/08/2015;2:00:00;43;4;23;2;36;49;1.7;25.8;0;0;24.9
10/08/2015;3:00:00;24;4;15;2;37;52;1.4;29.5;0;0;23.3
10/08/2015;4:00:00;17;4;5;2;40;44;1.8;40.8;0;0;22.2
10/08/2015;5:00:00;15;3;4;2;38;37;1.9;46;0;0;21.4
10/08/2015;6:00:00;16;3;5;2;36;48;1.4;50.5;0;0;20.7
10/08/2015;7:00:00;15;3;7;2;30;43;0.9;54.5;0;0;19.4
10/08/2015;8:00:00;20;3;16;2;23;41;1.1;56.8;0;0;18.8
10/08/2015;9:00:00;53;4;23;3;21;46;1.5;54.3;0;0;19.6
10/08/2015;10:00:00;25;3;23;2;26;51;1.8;48.5;0;0;21.6
10/08/2015;11:00:00;0;0;0;0;0;46;1.2;43;0;0;23.9
10/08/2015;12:00:00;0;0;0;0;0;95;0.3;33;0;0;28
10/08/2015;13:00:00;47;2;7;2;81;73;0.4;23;0;0;31.2
10/08/2015;14:00:00;41;3;9;2;95;225;0.3;18.8;0;0;34.2
10/08/2015;15:00:00;39;5;7;2;113;231;0.9;18.5;0;0;35
10/08/2015;16:00:00;53;5;5;2;107;270;1.3;18.3;0;0;35.9
10/08/2015;17:00:00;61;5;5;2;98;250;1.8;19;0;0;36.1
10/08/2015;18:00:00;68;5;7;2;96;275;1.7;18.8;0;0;36.4
10/08/2015;19:00:00;64;4;7;2;90;257;1.9;19.5;0;0;36.3
10/08/2015;20:00:00;78;4;9;2;84;254;2.4;19.8;0;0;35.7
10/08/2015;21:00:00;79;4;9;2;82;261;2.7;20.5;0;0;34.8
10/08/2015;22:00:00;76;4;12;2;71;271;1.6;22.3;0;0;33.2
10/08/2015;23:00:00;81;3;17;2;63;295;0.4;24.8;0;0;31.5
10/08/2015;0:00:00;79;3;19;2;52;310;0.2;26.8;0;0;30
11/08/2015;1:00:00;83;4;24;2;40;52;0.2;28.5;0;0;28.8
11/08/2015;2:00:00;76;5;54;9;15;12;0.2;28.8;0;0;28.7
11/08/2015;3:00:00;71;5;28;3;36;227;0.4;31.5;0;0;27.3
11/08/2015;4:00:00;75;9;5;2;45;156;0.2;34.3;0;0;25.8
11/08/2015;5:00:00;65;7;15;2;31;23;0.2;35;0;0;25.1
11/08/2015;6:00:00;60;6;25;4;27;47;0.2;36.8;0;0;24.7
11/08/2015;7:00:00;68;5;9;2;42;116;0.2;41;0;0;24.1
11/08/2015;8:00:00;71;5;11;3;40;91;0.2;48.5;0;0;23.5
11/08/2015;9:00:00;72;4;7;2;44;115;0.2;48.8;0;0;24.8
11/08/2015;10:00:00;76;7;31;12;37;229;0.2;42.3;0;0;27.3
11/08/2015;11:00:00;103;6;13;3;102;269;1.7;36;0;0;28.6
11/08/2015;12:00:00;76;6;10;2;113;249;1.5;35;0;0;29.6
11/08/2015;13:00:00;66;7;8;2;114;249;1.6;32.8;0;0;31.2
11/08/2015;14:00:00;68;5;7;3;101;244;1.6;30.5;0;0;32.6
11/08/2015;15:00:00;63;4;5;2;87;246;2;28.5;0;0;33.2
11/08/2015;16:00:00;73;5;5;2;86;273;1.7;27;0;0;33.5
11/08/2015;17:00:00;69;6;7;3;94;264;2.4;26.8;0;0;33.6
11/08/2015;18:00:00;69;8;6;2;106;270;3;26.8;0;0;33.3
11/08/2015;19:00:00;60;5;6;2;96;254;2.9;25.5;0;0;33.2
11/08/2015;20:00:00;66;4;8;2;91;254;2.9;24.3;0;0;32.9
11/08/2015;21:00:00;60;4;7;2;90;264;3;21;0;0;32.3
11/08/2015;22:00:00;68;4;10;2;82;274;1.5;20.5;0;0;30.7
11/08/2015;23:00:00;60;3;10;2;82;271;1.6;21;0;0;29.5
11/08/2015;0:00:00;55;4;10;2;76;272;0.8;22;0;0;27.7
12/08/2015;1:00:00;53;4;16;2;65;271;0.2;23.8;0;0;26.2
12/08/2015;2:00:00;50;5;8;2;59;206;0.2;27;0;0;24.2
12/08/2015;3:00:00;46;5;9;2;59;213;0.2;27;0;0;23.7
12/08/2015;4:00:00;46;5;10;2;56;225;0.2;27;0;0;23
12/08/2015;5:00:00;46;4;5;2;75;242;0.7;29.5;0;0;23.6
12/08/2015;6:00:00;28;4;12;2;63;227;0.3;34.8;0;0;23
12/08/2015;7:00:00;27;7;50;9;26;221;0.2;35.3;0;0;21.8
12/08/2015;8:00:00;35;6;76;21;8;244;0.2;36.5;0;0;21.2
12/08/2015;9:00:00;36;5;62;21;22;220;0.2;33.3;0;0;22.7
12/08/2015;10:00:00;55;8;26;7;53;157;0.2;30.3;0;0;25.3
12/08/2015;11:00:00;142;8;19;5;67;174;0.3;28.8;0;0;27.2
12/08/2015;12:00:00;54;7;11;3;82;205;0.6;24.8;0;0;29.3
12/08/2015;13:00:00;48;5;7;2;101;247;1.6;19.3;0;0;30.5
12/08/2015;14:00:00;31;4;7;2;109;260;1.8;16;0;0;31.8
12/08/2015;15:00:00;26;4;7;3;111;253;1.5;13.5;0;0;32.9
12/08/2015;16:00:00;24;4;6;2;111;275;1.5;14;0;0;33.3
12/08/2015;17:00:00;23;5;8;2;105;262;1.8;14.3;0;0;32.5
12/08/2015;18:00:00;28;5;11;2;98;268;1.9;17.3;0;0;32
12/08/2015;19:00:00;33;4;12;2;91;292;1.6;18.5;0;0;30.9
12/08/2015;20:00:00;29;3;17;3;80;293;0.8;19.8;0;0;30.6
12/08/2015;21:00:00;21;4;18;2;77;256;0.8;21.5;0;0;29.8
12/08/2015;22:00:00;29;4;7;2;70;291;1.6;25;0;0;28.5
