Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
03/06/2015;8:00:00;32;7;51;15;31;87;0.3;0;0;937;17.1;0.25;1.13;0.73
03/06/2015;9:00:00;41;12;67;31;19;65;0.3;0;0;938;17.3;2.33;1.33;0.53
03/06/2015;10:00:00;53;14;50;32;93;225;0.6;0;0;938;22;7.3;1.55;0.58
03/06/2015;11:00:00;53;78;39;15;105;152;1.7;0;0;939;24.9;4.85;6.55;0.35
03/06/2015;12:00:00;32;58;19;6;95;134;2.8;0;0;939;26.8;2.35;2.38;0.43
03/06/2015;13:00:00;15;41;17;5;101;138;2.5;0;0;938;28.2;1.28;1.08;0.65
03/06/2015;14:00:00;20;25;6;2;111;140;3.8;0;0;938;29.2;1.3;1.35;1.05
03/06/2015;15:00:00;28;12;7;2;113;117;3.3;0;0;938;29.9;0.75;1.28;0.63
03/06/2015;16:00:00;18;5;6;2;116;112;3.5;0;0;937;30.6;0.78;0.5;0.88
03/06/2015;17:00:00;21;8;5;2;112;136;3;0;0;936;30.9;0.45;1.18;0.33
03/06/2015;18:00:00;21;4;6;2;113;101;2.8;0;0;936;30.4;0.83;0.95;0.58
03/06/2015;19:00:00;13;3;8;2;111;97;3.2;0;0;936;30;0.85;3.48;0.73
03/06/2015;20:00:00;17;2;7;2;113;104;3.3;0;0;935;30.1;1.4;0.83;0.5
03/06/2015;21:00:00;19;2;7;2;109;109;3.2;0;0;936;29.6;1.8;1.2;0.4
03/06/2015;22:00:00;15;2;5;2;103;98;2.7;0;0;936;27;0.4;0.95;0.7
03/06/2015;23:00:00;36;14;7;2;98;111;2.6;0;0;937;25.1;0.88;1.33;0.7
03/06/2015;0:00:00;38;53;22;2;82;115;2.6;0;0;937;23.8;1.65;1.33;0.75
04/06/2015;1:00:00;51;35;14;2;92;101;2.2;0;0;938;21.9;3.7;1.6;0.63
04/06/2015;2:00:00;44;7;8;2;96;135;1.9;0;0;938;21;1.43;2.03;1.33
04/06/2015;3:00:00;38;12;9;2;95;129;2.3;0;0;937;21;2.35;0.73;0.85
04/06/2015;4:00:00;30;50;8;2;91;108;0.9;0;0;937;20;2.65;0.73;0.3
04/06/2015;5:00:00;34;41;8;2;86;89;0.6;0;0;937;19;1.18;4.03;0.5
04/06/2015;6:00:00;25;27;8;2;74;147;0.4;0;0;937;16.4;0.95;4.63;0.7
04/06/2015;7:00:00;26;48;16;2;61;279;1.1;0;0;937;16.1;1.43;2.5;0.93
04/06/2015;8:00:00;24;47;22;4;52;352;0.2;0;0;938;16;0.85;1.53;0.53
04/06/2015;9:00:00;29;20;18;12;66;138;0.3;0;0;938;17.8;1.4;1.18;0.75
04/06/2015;10:00:00;25;124;28;8;94;224;0.5;0;0;938;21.3;2.53;2.3;0.25
04/06/2015;11:00:00;31;289;30;7;96;108;1.8;0;0.32;938;23.7;2.58;2.03;1.1
04/06/2015;12:00:00;28;133;25;5;92;137;2.1;0;0;938;25.3;1.08;1.38;0.6
04/06/2015;13:00:00;21;22;7;2;106;74;3.4;0;0;938;26.2;0.53;1.43;0.3
04/06/2015;14:00:00;10;2;5;2;107;111;3.2;0;0;938;27.9;0.85;1.3;0.85
