Fecha;CO;NO;NO2;NOX;O3;PM10;SO2
7/01/2015;0.33;8.9;24.0;37.0;20.0;29.0;1.9
8/01/2015;0.45;19.0;27.0;57.0;13.0;38.0;5.1
9/01/2015;0.52;33.0;28.0;79.0;11.0;37.0;4.0
10/01/2015;0.51;18.0;24.0;52.0;14.0;35.0;1.0
11/01/2015;0.38;13.0;22.0;41.0;19.0;27.0;1.5
12/01/2015;0.31;19.0;22.0;51.0;22.0;25.0;2.2
13/01/2015;0.26;7.7;21.0;33.0;38.0;20.0;3.7
14/01/2015;0.23;7.0;20.0;31.0;43.0;19.0;3.0
15/01/2015;0.23;7.7;21.0;33.0;50.0;20.0;1.5
16/01/2015;0.27;10.0;26.0;41.0;35.0;20.0;1.8
17/01/2015;0.24;3.7;16.0;22.0;42.0;19.0;2.0
18/01/2015;0.16;1.7;8.5;11.0;54.0;14.0;2.6
19/01/2015;0.26;16.0;23.0;47.0;35.0;24.0;6.6
20/01/2015;0.24;6.0;16.0;25.0;46.0;19.0;1.3
21/01/2015;0.19;2.8;14.0;18.0;50.0;19.0;1.8
22/01/2015;0.21;5.5;20.0;28.0;47.0;18.0;5.2
23/01/2015;0.31;12.0;21.0;39.0;22.0;21.0;6.1
24/01/2015;0.25;8.8;16.0;30.0;25.0;21.0;4.2
25/01/2015;0.27;8.7;17.0;30.0;23.0;19.0;4.7
26/01/2015;0.34;21.0;23.0;55.0;16.0;25.0;5.3
27/01/2015;0.21;14.0;19.0;40.0;32.0;20.0;1.8
28/01/2015;0.28;17.0;28.0;53.0;22.0;22.0;7.3
29/01/2015;0.18;4.0;16.0;22.0;43.0;16.0;2.4
30/01/2015;0.11;1.0;3.3;4.0;66.0;15.0;2.6
31/01/2015;0.13;1.7;7.3;9.5;69.0;18.0;4.2
1/03/2015;0.13;1.6;7.9;9.8;67.0;14.0;1.9
2/03/2015;0.16;2.0;16.0;18.0;55.0;14.0;3.2
3/03/2015;0.15;2.5;11.0;15.0;50.0;15.0;3.6
4/03/2015;0.13;2.9;12.0;16.0;59.0;15.0;3.7
5/03/2015;0.21;6.2;20.0;29.0;49.0;20.0;4.2
6/03/2015;0.3;15.0;29.0;53.0;34.0;28.0;4.5
7/03/2015;0.3;6.8;29.0;39.0;45.0;30.0;1.5
8/03/2015;0.23;3.5;22.0;27.0;53.0;27.0;2.2
9/03/2015;0.31;14.0;26.0;47.0;39.0;32.0;6.8
10/03/2015;0.28;7.9;15.0;27.0;60.0;35.0;5.6
