Fecha;NO;NO2;NOX;PM10;PM25;O3;dd;HR;PRB;LL;RS;TMP;vv
03/03/2015;12;64;50;16;8;;32;92;1023.9;2.5;53.7;11.8;0.18
02/03/2015;13;64;50;12;6;;330;95;1022;2;30.7;12.7;0.71
01/03/2015;7;38;32;12;7;;186;83;1018.4;0.3;62.3;15.1;0.99
28/02/2015;8;65;49;17;10;;119;95;1021;2.2;27.3;10.4;1.15
27/02/2015;4;67;27;14;5;;332;78;1025.3;2.5;96;9.6;2.74
26/02/2015;4;57;23;9;3;;307;94;1023.7;16.3;35.8;12;4.1
25/02/2015;3;30;20;10;4;;297;92;1026.3;13.4;28.2;11.1;5.39
24/02/2015;3;45;22;13;;;289;87;1022.8;18.1;53.2;8.1;4.46
23/02/2015;6;46;36;11;;;282;86;1012.2;8;26.4;10.4;2.37
22/02/2015;3;48;21;12;5;;314;89;1014.4;4.9;41.5;9.6;1.34
21/02/2015;2;14;10;9;3;;309;84;1010.1;10.8;72.9;9.3;4.45
20/02/2015;15;75;53;18;10;;205;71;1015.9;3.5;35.3;10.4;2.51
19/02/2015;40;87;112;25;15;;163;74;1028.1;0;187.9;8.6;0.81
18/02/2015;30;75;86;19;11;;119;81;1034.8;0;63;7.6;0.75
17/02/2015;3;27;16;16;5;;347;74;1032.8;2.9;36.2;9.6;2.75
16/02/2015;4;60;30;12;4;;301;87;1019.5;10.1;46.5;10.4;2.28
15/02/2015;3;51;24;9;3;;316;93;1011.4;13.6;21;10.8;0.6
14/02/2015;2;39;21;7;;;212;83;1011.9;5.9;14.5;9.7;2.16
13/02/2015;9;74;40;16;9;;223;69;1016;0;94.8;10.9;3.1
12/02/2015;13;83;61;23;13;;207;65;1017.7;0;128.2;10.4;1.38
11/02/2015;36;110;111;36;20;;171;69;1019.4;0;82.6;7.7;1.2
10/02/2015;39;100;118;32;20;;153;70;1022.3;0;164.9;6.7;1.06
09/02/2015;19;80;63;24;11;;64;70;1027.8;0;150.4;6.4;0.78
08/02/2015;9;63;42;26;17;;38;85;1029.1;0;34.9;5;0.57
07/02/2015;10;49;52;25;17;;107;94;1021.4;0.5;10.9;3;1.33
06/02/2015;14;69;59;16;9;;10;95;1014.6;4.9;22.4;2.5;0.38
05/02/2015;6;75;28;11;4;;7;75;1017.2;7.2;51.9;5.3;2.07
04/02/2015;11;79;50;13;7;;359;86;1010;9.6;20.5;3.3;1.46
03/02/2015;8;87;46;9;;;38;93;1001.4;9.3;35.9;5.5;0.88
02/02/2015;10;85;47;10;;;185;83;1004.7;5.4;58;7.5;1.46
01/02/2015;2;33;13;13;4;;308;77;1010.6;8.7;47.8;7.2;3.65
31/01/2015;2;22;14;11;3;;294;81;997.2;13.6;44.2;7.9;4.87
30/01/2015;4;69;32;14;4;;297;95;995.2;45.7;7.4;10.1;4.27
29/01/2015;6;62;32;13;7;;264;77;1007.2;6.2;26.9;12.4;3.7
28/01/2015;18;67;71;16;9;;215;89;1023.6;0.4;28;10.5;0.51
27/01/2015;9;76;59;16;9;;303;91;1030;5.7;25.8;9.7;0.94
26/01/2015;36;82;116;31;17;;105;84;1031.5;0;28.8;8.2;0.47
25/01/2015;8;60;42;16;9;;89;84;1032.5;0;71;7.2;0.56
24/01/2015;26;62;74;22;12;;81;90;1029.6;1.7;44.1;5.9;1.16
23/01/2015;48;95;124;21;14;;42;86;1025.5;2.3;82.2;6.5;0.34
22/01/2015;9;91;43;12;6;;312;89;1014.5;9.9;28.3;7.7;1.54
21/01/2015;3;48;27;14;6;;254;86;1007.2;11.1;36.8;7.2;2.93
20/01/2015;14;74;65;21;10;;148;86;1009.6;1.6;50.1;6.5;1.25
19/01/2015;4;58;30;17;5;;329;73;1013.1;2.6;90.6;8;2.57
18/01/2015;3;42;17;14;6;;180;64;1009.2;4.1;73.6;9.5;2.65
17/01/2015;4;49;32;18;6;;161;74;1019.3;0.9;74.7;8.4;0.58
16/01/2015;7;72;41;17;5;;264;82;1011.5;5.5;47.6;8.3;1.72
15/01/2015;4;83;24;15;6;;214;59;1008.9;5.3;16.1;14;3.54
14/01/2015;29;89;72;24;11;;210;63;1021.1;0;116.6;12.4;2.31
13/01/2015;2;31;17;19;8;;216;53;1019.7;0;71.4;14.1;5.22
12/01/2015;18;86;59;18;8;;181;56;1026.5;0;125.4;11.8;2.7
11/01/2015;7;56;32;23;10;;68;86;1033;1.5;38.4;11;0.19
10/01/2015;36;52;90;37;21;;179;91;1033.4;0;73.8;9.9;0.21
09/01/2015;72;89;163;38;22;;116;83;1039.9;0;94.5;10.4;0.8
08/01/2015;78;85;178;41;24;;115;82;1036;0;64.5;9.5;1.07
07/01/2015;88;92;184;33;20;;129;86;1029.8;0;99.7;8.4;0.84
06/01/2015;40;55;103;34;23;;100;87;1026.6;0;24.4;9.7;0.64
05/01/2015;54;78;126;26;14;;150;85;1026.6;0;110.3;8.7;0.54
04/01/2015;32;51;84;32;21;;117;92;1034.4;0;37.9;11.1;0.68
03/01/2015;49;65;117;28;19;;200;86;1035.8;0;97.8;7.5;0.2
02/01/2015;73;85;166;29;20;;153;82;1037;0;89;5.9;0.62
01/01/2015;31;70;86;27;22;;130;78;1034.8;0;110.1;5.2;0.93
