Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
27/06/2015;0:00:00;3;49;2;47;121;0.6;20.8;0;942;28.4
28/06/2015;1:00:00;4;36;2;50;38;0.5;23.5;0;942;26.7
28/06/2015;2:00:00;3;7;2;80;27;0.4;27.1;0;942;24.9
28/06/2015;3:00:00;2;7;2;68;69;0.6;32.6;0;942;22.9
28/06/2015;4:00:00;2;2;2;81;44;0.5;33.7;0;942;21.8
28/06/2015;5:00:00;2;2;2;72;44;0.4;36.2;0;942;20.9
28/06/2015;6:00:00;2;2;2;73;49;0.5;37.5;0;942;19.8
28/06/2015;7:00:00;2;2;2;69;46;0.6;38.6;0;942;19.1
28/06/2015;8:00:00;2;2;2;66;41;0.4;39.8;0;942;19
28/06/2015;9:00:00;2;2;2;73;67;0.4;35.6;0;943;21.6
28/06/2015;10:00:00;2;2;2;91;29;0.4;30.7;0;943;25.2
28/06/2015;11:00:00;2;2;2;107;44;0.4;25.5;0;943;29.4
28/06/2015;12:00:00;2;2;2;126;24;0.4;17.8;0;942;33.6
28/06/2015;13:00:00;4;3;2;138;206;1;11.1;0;942;35.6
28/06/2015;14:00:00;2;2;2;149;209;1.6;9.6;0;942;36.3
28/06/2015;15:00:00;3;2;2;152;267;1.5;8.5;0;942;37
28/06/2015;16:00:00;2;2;2;168;262;1.9;7.5;0;941;37.8
28/06/2015;17:00:00;2;2;2;186;246;1.6;7.6;0;941;38.6
28/06/2015;18:00:00;3;2;2;183;206;1.6;7.7;0;940;38.3
28/06/2015;19:00:00;3;2;2;173;227;1.5;7.7;0;940;38.5
28/06/2015;20:00:00;2;2;2;168;231;1.6;8;0;940;37.9
28/06/2015;21:00:00;2;6;2;153;223;1.1;9;0;940;37.2
28/06/2015;22:00:00;2;20;2;119;255;0.8;12.6;0;940;34.4
28/06/2015;23:00:00;2;21;2;98;239;0.6;15.1;0;941;32.3
28/06/2015;0:00:00;3;23;2;69;182;0.2;20.4;0;941;29
29/06/2015;1:00:00;2;10;2;76;47;0.5;22.9;0;941;27.3
29/06/2015;2:00:00;2;2;2;83;64;0.9;26.2;0;941;25.6
29/06/2015;3:00:00;2;2;2;86;63;0.6;27;0;941;24.7
29/06/2015;4:00:00;2;2;2;85;46;0.5;31.8;0;941;23.8
29/06/2015;5:00:00;2;2;2;85;51;0.7;36.3;0;941;23.2
29/06/2015;6:00:00;2;2;2;81;47;0.6;40.2;0;941;22.3
29/06/2015;7:00:00;2;4;2;73;47;0.6;44.4;0;942;21.5
