Fecha;Hora;SO2;NO;NO2;PM10;O3;dd;vv;TMP;PRB
15/03/2015;6:00:00;0;2.4;0;7;77;217;0.3;8.2;1016
15/03/2015;7:00:00;0;2.4;0;7;77;206;0.2;8.2;1016
15/03/2015;8:00:00;3;3.4;11;8;50;150;0.2;7.9;1016
15/03/2015;9:00:00;3;2.6;2;6;78;74;1.7;10.0;1017
15/03/2015;10:00:00;2;2.3;0;4;86;68;1.8;11.7;1017
15/03/2015;11:00:00;1;2.2;0;4;89;104;1.7;12.3;1017
15/03/2015;12:00:00;1;1.3;0;4;92;122;1.8;13.0;1016
15/03/2015;13:00:00;0;1.1;0;4;93;70;1.9;12.3;1016
15/03/2015;14:00:00;0;1.3;0;6;91;118;1.2;11.2;1016
15/03/2015;15:00:00;0;1.5;0;6;92;158;0.9;12.0;1015
15/03/2015;16:00:00;1;4.7;9;5;84;234;4.6;11.1;1016
15/03/2015;17:00:00;0;2.4;1;6;95;155;4.8;10.1;1016
15/03/2015;18:00:00;0;1.6;0;5;91;119;2.1;11.3;1016
15/03/2015;19:00:00;0;1.2;1;5;82;75;0.6;10.3;1016
15/03/2015;20:00:00;2;2.3;2;6;80;96;1.4;10.1;1016
15/03/2015;21:00:00;2;2.4;4;7;73;192;1.0;10.2;1017
15/03/2015;22:00:00;2;2.4;3;7;74;57;0.9;9.0;1017
15/03/2015;23:00:00;3;2.4;2;7;71;58;0.5;8.8;1017
15/03/2015;0:00:00;3;2.4;3;8;65;115;0.8;8.6;1017
16/03/2015;1:00:00;2;2.4;3;6;66;116;1.0;8.6;1017
16/03/2015;2:00:00;1;2.4;0;5;74;219;1.1;9.3;1017
16/03/2015;3:00:00;2;2.4;2;6;52;70;0.8;7.8;1017
16/03/2015;4:00:00;4;2.8;24;7;34;106;0.6;7.5;1016
16/03/2015;5:00:00;3;2.4;15;6;47;68;0.2;7.0;1016
16/03/2015;6:00:00;3;2.8;11;7;41;183;0.5;6.9;1016
16/03/2015;7:00:00;3;2.7;6;8;38;96;0.6;6.3;1017
16/03/2015;8:00:00;3;6.9;17;8;41;24;0.5;6.3;1017
16/03/2015;9:00:00;4;4.8;11;7;54;153;0.7;8.0;1017
16/03/2015;10:00:00;2;4.9;10;6;66;279;0.8;10.4;1017
16/03/2015;11:00:00;1;2.5;3;5;83;127;1.8;13.3;1018
16/03/2015;12:00:00;0;1.0;0;5;91;122;2.5;14.8;1018
16/03/2015;13:00:00;0;0.4;0;5;95;118;2.9;14.4;1018
16/03/2015;14:00:00;0;0.9;0;7;95;107;2.3;13.1;1017
16/03/2015;15:00:00;0;1.3;0;7;96;102;1.8;13.3;1017
16/03/2015;16:00:00;0;2.2;4;7;95;184;3.2;12.1;1018
16/03/2015;17:00:00;4;8.2;30;9;67;276;1.3;11.1;1017
16/03/2015;18:00:00;14;10.8;50;10;51;277;1.2;11.2;1018
16/03/2015;19:00:00;3;2.7;17;10;75;192;0.3;11.1;1018
16/03/2015;20:00:00;4;2.3;11;12;66;49;0.3;10.2;1019
16/03/2015;21:00:00;3;2.4;3;13;79;53;0.4;9.6;1019
16/03/2015;22:00:00;7;2.4;6;16;63;88;0.4;8.6;1019
16/03/2015;23:00:00;3;2.4;1;14;72;30;0.9;8.3;1019
16/03/2015;0:00:00;4;2.4;0;13;71;32;0.8;8.1;1019
17/03/2015;1:00:00;4;2.4;0;11;69;104;0.4;8.5;1019
17/03/2015;2:00:00;2;2.4;0;11;66;88;0.6;7.9;1019
17/03/2015;3:00:00;2;2.4;0;10;61;85;0.3;7.4;1019
17/03/2015;4:00:00;4;3.5;8;12;37;190;0.3;7.1;1019
17/03/2015;5:00:00;5;2.7;13;13;24;228;0.1;7.2;1019
17/03/2015;6:00:00;6;5.7;18;13;16;226;0.1;7.0;1019
17/03/2015;7:00:00;5;9.6;20;12;18;278;0.2;6.5;1019
17/03/2015;8:00:00;7;11.1;24;13;17;193;0.2;6.6;1020
17/03/2015;9:00:00;5;23.1;26;13;27;229;0.5;8.1;1020
17/03/2015;10:00:00;5;7.9;17;10;51;240;0.9;10.4;1021
17/03/2015;11:00:00;4;3.1;4;8;88;192;1.6;13.1;1021
17/03/2015;12:00:00;2;2.5;2;8;91;169;2.1;13.9;1021
17/03/2015;13:00:00;2;1.7;1;8;96;138;2.1;14.3;1020
17/03/2015;14:00:00;1;1.2;2;9;99;111;2.2;14.5;1020
17/03/2015;15:00:00;1;1.1;0;8;105;81;2.4;14.5;1019
17/03/2015;16:00:00;1;1.1;0;8;106;72;1.9;14.6;1019
17/03/2015;17:00:00;0;1.1;0;8;105;93;1.4;15.1;1019
17/03/2015;18:00:00;0;1.1;0;8;103;83;1.8;14.0;1019
17/03/2015;19:00:00;0;1.1;0;9;98;73;1.0;13.0;1019
17/03/2015;20:00:00;0;1.4;1;11;92;103;0.3;11.8;1019
17/03/2015;21:00:00;1;2.4;3;12;83;113;0.2;11.2;1019
17/03/2015;22:00:00;3;2.4;2;12;69;79;0.3;10.7;1020
17/03/2015;23:00:00;1;2.4;3;13;66;35;0.8;10.3;1020
17/03/2015;0:00:00;0;2.4;3;11;64;44;0.6;10.2;1019
18/03/2015;1:00:00;0;2.4;1;9;58;53;0.1;10.5;1019
18/03/2015;2:00:00;1;2.1;0;7;93;117;2.7;11.9;1019
18/03/2015;3:00:00;0;1.6;0;5;98;130;4.6;12.4;1018
18/03/2015;4:00:00;0;1.9;0;5;84;200;2.3;12.2;1019
18/03/2015;5:00:00;2;2.3;5;8;68;104;0.5;11.6;1019
18/03/2015;6:00:00;1;2.3;0;10;88;91;1.6;11.8;1018
18/03/2015;7:00:00;0;2.1;0;10;96;101;2.6;12.4;1018
18/03/2015;8:00:00;0;2.2;0;7;93;99;2.4;12.3;1018
18/03/2015;9:00:00;0;2.0;4;6;92;109;3.9;13.4;1018
18/03/2015;10:00:00;0;1.2;0;6;96;116;4.9;14.0;1019
18/03/2015;11:00:00;0;1.1;0;8;99;122;6.1;15.1;1019
18/03/2015;12:00:00;0;1.1;0;9;98;117;5.2;15.5;1019
18/03/2015;13:00:00;0;1.1;0;9;98;112;5.0;15.7;1019
18/03/2015;14:00:00;0;4.3;5;7;98;118;6.1;16.6;1018
18/03/2015;15:00:00;0;0.4;4;6;99;120;6.1;16.6;1018
18/03/2015;16:00:00;0;0.0;0;6;98;118;5.4;16.3;1017
18/03/2015;17:00:00;0;0.0;0;9;98;112;4.8;15.7;1017
18/03/2015;18:00:00;0;0.1;0;12;101;119;5.5;14.7;1017
18/03/2015;19:00:00;0;1.1;0;14;105;119;6.2;14.2;1017
18/03/2015;20:00:00;0;1.1;0;13;103;118;5.7;13.9;1017
18/03/2015;21:00:00;0;1.1;1;13;97;111;4.5;13.9;1017
18/03/2015;22:00:00;0;1.1;0;16;95;113;4.8;13.8;1017
18/03/2015;23:00:00;0;1.1;0;17;94;112;4.7;13.6;1017
18/03/2015;0:00:00;0;1.1;0;16;95;105;4.5;13.8;1016
19/03/2015;1:00:00;0;1.0;0;18;92;111;4.1;13.8;1017
19/03/2015;2:00:00;0;1.0;0;18;92;111;3.6;13.8;1016
19/03/2015;3:00:00;0;1.0;0;17;93;102;3.0;13.5;1016
19/03/2015;4:00:00;0;1.0;0;19;94;85;2.1;13.3;1015
19/03/2015;5:00:00;0;1.0;0;24;96;79;1.9;13.5;1015
19/03/2015;6:00:00;0;1.0;0;22;95;85;1.7;13.5;1015
19/03/2015;7:00:00;0;1.0;0;18;94;86;2.1;13.5;1016
19/03/2015;8:00:00;0;1.0;0;17;92;101;2.7;13.5;1016
19/03/2015;9:00:00;0;1.0;0;18;91;104;3.3;14.1;1016
19/03/2015;10:00:00;0;1.1;1;20;90;109;2.9;14.5;1016
19/03/2015;11:00:00;1;1.2;2;18;85;113;3.4;15.4;1016
19/03/2015;12:00:00;0;0.8;0;15;95;120;4.6;16.0;1016
