Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
07/06/2015;5:00:00;5.3;8;33;30;20.2;89;1021;0.0
07/06/2015;6:00:00;2.1;3;52;35;20.9;89;1021;0.2
07/06/2015;7:00:00;1.7;2;93;40;22.9;81;1021;0.0
07/06/2015;8:00:00;1.7;1;101;32;23.7;73;1021;0.0
07/06/2015;9:00:00;1.8;1;102;12;24.6;65;1021;0.0
07/06/2015;10:00:00;1.9;2;110;40;25.0;60;1021;0.0
07/06/2015;11:00:00;1.9;2;119;20;25.7;54;1021;0.0
07/06/2015;12:00:00;1.9;3;121;43;25.7;63;1021;0.0
07/06/2015;13:00:00;1.5;2;122;28;25.7;65;1020;0.0
07/06/2015;14:00:00;1.7;2;117;27;26.1;61;1020;0.0
07/06/2015;15:00:00;1.6;1;116;20;26.2;59;1019;0.0
07/06/2015;16:00:00;1.5;1;115;17;26.0;61;1019;0.0
07/06/2015;17:00:00;1.7;1;109;29;26.4;55;1019;0.0
07/06/2015;18:00:00;1.6;2;117;19;25.5;66;1019;0.0
07/06/2015;19:00:00;1.7;2;112;30;24.7;72;1019;0.0
07/06/2015;20:00:00;1.4;3;113;30;24.1;65;1019;0.0
07/06/2015;21:00:00;1.8;4;72;31;23.3;72;1019;0.0
07/06/2015;22:00:00;1.6;2;83;28;22.4;83;1019;0.0
07/06/2015;23:00:00;1.4;2;75;28;21.8;86;1019;0.0
07/06/2015;0:00:00;1.4;1;80;28;21.6;89;1019;0.0
08/06/2015;1:00:00;1.4;1;70;29;21.4;90;1019;0.0
08/06/2015;2:00:00;1.4;1;61;36;21.0;91;1019;0.0
08/06/2015;3:00:00;1.3;2;48;25;20.7;91;1018;0.0
08/06/2015;4:00:00;1.3;2;40;28;20.3;92;1018;0.0
08/06/2015;5:00:00;5.4;6;32;33;20.0;93;1018;0.0
08/06/2015;6:00:00;5.0;11;57;38;21.9;93;1018;0.0
08/06/2015;7:00:00;4.8;11;100;32;22.9;89;1018;0.0
08/06/2015;8:00:00;3.9;7;117;34;24.0;73;1018;0.0
08/06/2015;9:00:00;4.1;9;123;21;25.0;65;1017;0.0
08/06/2015;10:00:00;4.8;9;128;84;25.3;65;1017;0.0
08/06/2015;11:00:00;3.5;7;133;25;25.5;60;1017;0.0
08/06/2015;12:00:00;4.7;8;128;30;26.2;56;1017;0.0
08/06/2015;13:00:00;5.0;10;119;14;27.1;55;1016;0.0
08/06/2015;14:00:00;9.4;18;111;36;26.6;61;1016;0.0
08/06/2015;15:00:00;4.4;11;119;21;26.8;62;1015;0.0
08/06/2015;16:00:00;2.3;5;122;24;26.8;62;1015;0.0
