Fecha;Hora;SO2;NO;NO2;dd;vv;TMP;O3
08/09/2015;15:00:00;0;2.0;12;97;0.8;24.6;92
08/09/2015;16:00:00;0;1.7;9;131;0.3;24.8;93
08/09/2015;17:00:00;0;1.8;6;304;2.9;24.4;96
08/09/2015;18:00:00;0;1.3;3;316;3.0;23.5;100
08/09/2015;19:00:00;0;1.1;4;331;1.7;23.1;102
08/09/2015;20:00:00;0;1.1;3;319;1.8;22.4;104
08/09/2015;21:00:00;0;1.1;2;317;1.9;21.8;103
08/09/2015;22:00:00;0;1.0;3;320;0.6;21.7;98
08/09/2015;23:00:00;0;1.0;2;322;1.7;21.3;100
08/09/2015;0:00:00;0;1.0;1;323;2.0;21.1;104
09/09/2015;1:00:00;0;1.0;1;324;1.5;20.9;105
09/09/2015;2:00:00;0;0.9;1;323;1.9;20.9;108
09/09/2015;3:00:00;0;0.9;1;322;3.1;21.1;110
09/09/2015;4:00:00;0;1.0;1;321;2.2;21.2;111
09/09/2015;5:00:00;0;1.0;1;262;1.1;20.7;105
09/09/2015;6:00:00;;;;;;;
09/09/2015;7:00:00;0;1.2;6;292;0.9;19.5;90
09/09/2015;8:00:00;0;4.3;30;241;0.4;19.6;59
09/09/2015;9:00:00;0;1.5;9;296;1.3;21.2;91
09/09/2015;10:00:00;0;1.3;5;255;2.8;22.8;101
09/09/2015;11:00:00;0;1.4;6;266;2.4;23.9;107
09/09/2015;12:00:00;0;1.1;5;310;2.2;24.9;107
09/09/2015;13:00:00;0;1.3;4;301;2.5;25.7;107
09/09/2015;14:00:00;0;1.3;4;301;4.0;26.2;107
09/09/2015;15:00:00;0;1.7;3;302;4.3;26.2;110
09/09/2015;16:00:00;0;1.4;4;301;3.8;25.7;108
09/09/2015;17:00:00;0;1.4;4;302;3.3;26.2;107
09/09/2015;18:00:00;0;1.3;3;303;3.5;25.3;110
09/09/2015;19:00:00;0;1.1;2;309;1.9;24.1;109
09/09/2015;20:00:00;;1.0;7;322;0.7;22.8;99
09/09/2015;21:00:00;0;1.1;12;252;0.2;22.3;81
09/09/2015;22:00:00;0;1.0;11;103;0.2;21.2;55
09/09/2015;23:00:00;0;1.0;6;102;0.5;19.9;53
09/09/2015;0:00:00;0;8.5;20;103;0.4;19.2;38
10/09/2015;1:00:00;0;2.6;12;111;0.5;18.9;43
10/09/2015;2:00:00;0;15.5;25;111;0.5;18.3;29
10/09/2015;3:00:00;0;13.1;18;112;0.7;17.9;36
10/09/2015;4:00:00;0;8.4;18;118;0.7;17.9;41
10/09/2015;5:00:00;0;30.7;22;302;1.0;18.2;35
10/09/2015;6:00:00;0;3.8;11;325;0.6;17.7;40
10/09/2015;7:00:00;0;24.4;17;325;0.2;17.6;32
10/09/2015;8:00:00;0;8.4;24;325;0.1;18.2;28
10/09/2015;9:00:00;0;11.7;36;325;0.1;19.3;20
10/09/2015;10:00:00;0;4.7;22;325;0.0;20.4;36
10/09/2015;11:00:00;0;2.0;12;246;0.3;22.2;79
10/09/2015;12:00:00;0;1.5;15;67;0.0;23.0;85
10/09/2015;13:00:00;0;1.9;21;191;0.6;21.9;56
10/09/2015;14:00:00;0;1.4;11;331;0.4;21.1;55
10/09/2015;15:00:00;0;1.7;14;331;0.2;21.3;57
10/09/2015;16:00:00;0;1.4;12;331;0.2;21.2;57
10/09/2015;17:00:00;0;1.8;11;329;0.5;21.0;65
10/09/2015;18:00:00;0;1.1;4;328;1.2;21.4;78
10/09/2015;19:00:00;0;1.1;6;331;1.2;21.1;66
10/09/2015;20:00:00;0;4.0;15;331;0.2;20.5;35
10/09/2015;21:00:00;0;6.0;19;331;0.4;20.2;25
10/09/2015;22:00:00;0;5.7;16;329;0.5;20.2;26
10/09/2015;23:00:00;0;1.1;5;325;0.2;20.2;39
10/09/2015;0:00:00;0;1.1;2;325;0.1;20.1;43
11/09/2015;1:00:00;0;1.3;5;325;0.3;20.0;33
11/09/2015;2:00:00;0;2.0;8;325;0.3;19.7;38
11/09/2015;3:00:00;0;8.0;15;325;0.2;19.7;34
11/09/2015;4:00:00;0;2.4;8;325;0.5;19.8;36
11/09/2015;5:00:00;0;38.5;21;325;0.5;19.5;19
11/09/2015;6:00:00;0;26.9;16;325;0.4;19.3;25
11/09/2015;7:00:00;0;18.9;19;325;0.1;19.3;13
11/09/2015;8:00:00;0;14.7;26;325;0.0;19.6;7
11/09/2015;9:00:00;0;14.9;29;325;0.0;20.9;16
11/09/2015;10:00:00;0;4.9;20;235;0.6;22.7;52
11/09/2015;11:00:00;0;1.4;6;119;1.4;25.2;86
11/09/2015;12:00:00;0;1.2;4;134;1.2;26.1;90
11/09/2015;13:00:00;0;1.2;6;151;0.8;27.2;93
11/09/2015;14:00:00;0;4.4;18;216;0.9;28.1;79
11/09/2015;15:00:00;0;3.0;13;224;1.2;28.2;84
11/09/2015;16:00:00;0;2.1;10;215;1.4;28.0;87
11/09/2015;17:00:00;0;2.0;11;225;1.1;27.7;86
11/09/2015;18:00:00;0;1.5;10;218;1.0;26.6;85
11/09/2015;19:00:00;0;1.1;8;217;0.5;25.8;87
11/09/2015;20:00:00;0;1.1;9;216;0.1;24.6;80
11/09/2015;21:00:00;0;1.1;19;216;0.0;24.1;59
11/09/2015;22:00:00;0;1.1;17;214;0.4;23.3;45
11/09/2015;23:00:00;0;1.1;6;97;0.6;22.8;76
11/09/2015;0:00:00;0;1.0;4;67;0.2;22.7;80
12/09/2015;1:00:00;0;1.1;4;61;0.6;22.2;74
12/09/2015;2:00:00;0;1.0;2;61;0.5;21.7;69
12/09/2015;3:00:00;0;1.1;1;61;0.3;20.9;50
12/09/2015;4:00:00;0;19.7;11;61;0.3;20.1;31
12/09/2015;5:00:00;0;2.7;9;61;0.7;19.5;38
12/09/2015;6:00:00;0;13.5;17;151;0.6;19.0;28
12/09/2015;7:00:00;0;22.9;29;346;0.6;18.8;23
12/09/2015;8:00:00;0;24.3;26;330;0.6;19.4;34
12/09/2015;9:00:00;0;3.4;18;336;0.1;22.1;59
12/09/2015;10:00:00;0;2.1;12;290;0.5;25.9;89
12/09/2015;11:00:00;0;1.2;7;102;2.0;27.2;107
