Fecha;BEN;NO;NO2;NOX;O3;PM10;SH2;SO2;TOL;dd;HR;PRB;RS;TMP;vv
10/03/2015;0.68;6;64;27;96;32;3;15;1.79;277;79;1022.8;186.4;10.6;1.6
09/03/2015;0.72;8;61;37;83;37;2;12;1.76;247;80;1022.7;191.7;10.3;1.7
08/03/2015;0.91;3;40;21;79;33;3;13;1.35;254;77;1023.4;188.6;11;1.2
07/03/2015;0.91;7;53;34;59;28;3;16;3.15;245;63;1024.6;194.9;12.2;1.3
06/03/2015;1.84;7;65;36;62;28;3;14;5.17;243;70;1028.3;194.2;9.2;1.9
05/03/2015;0.5;2;33;15;90;26;1;5;0.83;335;60;1035.2;190.7;9.7;0.5
04/03/2015;0.52;2;37;11;88;23;1;5;0.58;332;80;1032.7;104.8;9.8;1.8
03/03/2015;0.88;8;53;34;72;28;2;9;2.3;331;92;1022;44.1;12;0.4
02/03/2015;1.15;8;44;34;71;31;3;9;2.75;328;97;1019.9;31.2;13.1;0.6
01/03/2015;1.47;3;46;16;54;16;3;7;3.9;180;79;1016.1;66.8;16.1;1.2
28/02/2015;0.71;8;44;24;67;14;2;7;0.98;231;86;1018.6;39.9;12.4;0.6
27/02/2015;0.4;2;11;10;97;20;1;6;0.36;325;77;1023.3;101.1;10;2.9
26/02/2015;0.28;2;13;9;79;9;1;6;0.22;322;92;1021.7;48.9;12.7;3.7
25/02/2015;0.28;1;7;6;86;10;1;5;0.05;307;87;1024.5;43;11.7;3.5
24/02/2015;0.42;2;7;6;88;14;1;7;0.12;283;81;1020.7;55.1;8.5;2.5
23/02/2015;0.43;2;19;9;86;13;3;8;0.53;293;80;1009.8;40;11.2;1.8
22/02/2015;0.46;1;8;7;92;16;2;8;0.38;317;80;1012;45.9;10.9;1.8
21/02/2015;0.44;2;6;6;90;15;2;10;0.16;324;79;1007.8;71.3;9.7;4.7
20/02/2015;1.07;3;22;21;69;18;3;9;2.46;173;62;1013.1;47.1;11.5;3.5
19/02/2015;1.03;9;54;41;51;25;2;8;3;233;67;1025.7;154;9.2;0.7
18/02/2015;;;32;;77;23;;;;272;77;1032.7;58.4;8.2;0.8
17/02/2015;0.49;2;17;12;90;32;2;3;0.27;359;70;1031;36.6;10.1;1.6
16/02/2015;0.58;2;19;10;86;15;3;5;0.58;317;83;1017.3;44.3;11;2.3
15/02/2015;0.64;2;17;11;80;14;3;7;0.61;308;90;1009.1;16.4;11.5;0.9
14/02/2015;0.75;2;17;12;88;10;3;7;0.91;222;73;1009.2;17.6;10.6;1.2
13/02/2015;;2;20;14;82;21;3;6;;170;60;1013.3;90.8;11.5;2.8
12/02/2015;;3;21;19;77;27;3;6;;171;55;1014.9;99.1;11.1;3.5
11/02/2015;1.27;3;28;20;74;29;4;7;5.16;165;59;1016.5;76.3;8.6;4.7
10/02/2015;1.36;10;65;43;78;36;4;9;3.85;170;63;1019.6;140.1;7.8;3.1
09/02/2015;1.11;3;29;19;75;32;3;6;1.29;305;66;1025.6;111;6.7;0.5
08/02/2015;0.96;2;25;15;65;32;3;5;1.22;336;72;1026.9;30.2;6.7;0.5
07/02/2015;2.78;5;52;26;49;33;4;7;2.23;203;86;1018.8;8.3;4.1;0.5
06/02/2015;1.52;3;27;20;76;16;3;7;1.61;6;86;1011.9;11.8;3.9;0.8
05/02/2015;0.65;2;16;13;79;19;2;5;0.49;356;69;1014.9;37.3;6.3;2.7
04/02/2015;0.71;2;15;13;72;18;2;7;0.88;359;83;1007.3;18.1;4.6;1.8
03/02/2015;2.93;3;48;20;79;14;3;9;1.95;354;86;998.7;28.1;6.1;0.8
02/02/2015;0.84;8;35;27;72;6;3;8;1.37;170;77;1001.6;61.6;8.3;2.9
01/02/2015;0.55;4;40;11;87;22;2;7;0;320;70;1008.1;59.8;8;3.9
31/01/2015;0.55;1;4;5;89;14;3;9;;303;76;994.7;37.4;8.3;3.2
30/01/2015;0.54;3;59;17;88;16;3;10;;319;91;992.5;6.5;10.7;4
29/01/2015;0.58;2;21;11;76;14;2;7;1.28;280;71;1004.8;23.5;13.2;2.1
28/01/2015;0.54;2;23;10;73;11;1;3;0.7;262;78;1021.4;36.5;11.7;1
27/01/2015;0.59;2;22;14;74;15;1;2;0.48;281;83;1028.1;25.1;10.7;0.9
26/01/2015;0.84;3;39;19;72;23;1;3;1.89;260;75;1029.4;31.2;9.3;0.7
25/01/2015;0.78;3;45;20;78;24;1;2;1.15;258;75;1030.3;67.2;8.7;0.3
24/01/2015;0.68;4;14;16;76;17;1;3;0.89;233;84;1027.3;46.2;7.5;1.2
23/01/2015;0.97;3;30;20;72;19;2;8;0.94;254;78;1023.2;53.2;8;0.5
22/01/2015;0.66;2;16;11;79;21;1;11;0.49;324;79;1012.1;30.7;8.7;1.8
21/01/2015;0.57;1;12;7;86;10;2;8;0.46;249;80;1004.7;35.7;7.5;1.6
20/01/2015;0.99;3;21;14;66;10;3;6;2.23;179;80;1006.9;43.9;7;1.6
19/01/2015;0.56;2;11;9;83;18;;4;0.54;329;68;1010.7;58.4;8.4;3.3
18/01/2015;1.46;4;13;14;70;9;;6;2.58;160;63;1005.9;55;10;5.8
17/01/2015;1.1;2;15;10;82;15;;5;1.34;171;64;1016.7;56.3;9.3;1
