Fecha;NO;NO2;O3;PM10;SO2
12/05/2015;1;3;70;;5
13/05/2015;1;3;86;;8
14/05/2015;1;2;65;;3
15/05/2015;1;2;52;;1
16/05/2015;2;2;48;;1
17/05/2015;1;2;43;;1
18/05/2015;1;3;42;;2
19/05/2015;1;3;63;;2
20/05/2015;1;2;64;;2
21/05/2015;2;3;63;;3
22/05/2015;1;2;55;;3
23/05/2015;1;2;48;;1
24/05/2015;1;2;40;;2
25/05/2015;1;2;39;;2
26/05/2015;1;3;53;;4
27/05/2015;1;3;42;;4
28/05/2015;1;4;46;;2
29/05/2015;1;4;56;;1
30/05/2015;1;4;49;;1
31/05/2015;1;4;39;;1
01/06/2015;2;5;41;;1
02/06/2015;1;4;54;;1
03/06/2015;2;5;56;;2
04/06/2015;1;6;63;;2
05/06/2015;1;6;58;;1
06/06/2015;2;5;45;;1
07/06/2015;1;6;61;;1
08/06/2015;1;5;54;;1
09/06/2015;1;4;52;;1
10/06/2015;1;6;73;;2
11/06/2015;1;3;72;;2
12/06/2015;1;4;69;;1
13/06/2015;1;4;63;;1
14/06/2015;1;3;49;;1
15/06/2015;1;3;55;;2
16/06/2015;1;3;55;;2
17/06/2015;1;4;54;;1
18/06/2015;1;4;48;;1
19/06/2015;1;4;38;;1
20/06/2015;1;3;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
21/06/2015;1;3;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
22/06/2015;1;5;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
23/06/2015;1;5;55;;1
24/06/2015;1;4;43;;1
25/06/2015;2;6;53;;1
26/06/2015;1;5;71;;1
27/06/2015;1;5;66;;1
28/06/2015;1;6;63;;1
29/06/2015;1;5;82;;2
30/06/2015;1;6;86;;1
01/07/2015;1;5;79;;1
02/07/2015;1;4;59;;1
03/07/2015;1;5;73;;2
04/07/2015;1;5;74;;2
05/07/2015;1;4;37;;1
06/07/2015;1;4;55;;1
07/07/2015;1;4;58;;1
08/07/2015;1;4;42;;1
09/07/2015;1;4;70;;2
10/07/2015;1;5;77;;2
11/07/2015;1;4;44;;1
12/07/2015;1;4;47;;1
13/07/2015;1;4;69;;3
14/07/2015;1;4;60;;2
15/07/2015;1;5;75;;1
16/07/2015;1;5;80;;2
17/07/2015;1;5;61;;1
18/07/2015;1;6;64;;1
19/07/2015;1;4;53;;1
20/07/2015;1;5;55;;2
21/07/2015;1;5;48;;1
22/07/2015;2;6;39;;1
23/07/2015;1;5;55;;1
24/07/2015;1;4;51;;1
25/07/2015;1;3;71;;1
26/07/2015;1;6;62;;3
27/07/2015;1;4;58;;1
28/07/2015;1;4;46;;2
29/07/2015;1;4;39;;2
30/07/2015;1;5;39;;3
31/07/2015;1;5;53;;1
01/08/2015;2;9;51;;2
02/08/2015;3;11;66;;2
03/08/2015;1;9;70;;1
04/08/2015;1;6;64;;1
05/08/2015;1;8;66;;1
06/08/2015;1;6;56;;1
07/08/2015;1;4;53;;1
08/08/2015;1;3;65;;1
09/08/2015;1;4;57;;2
10/08/2015;1;6;67;;2
11/08/2015;1;6;68;;1
12/08/2015;1;6;53;;1
13/08/2015;2;8;40;;1
14/08/2015;1;4;51;;1
15/08/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
17/08/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
18/08/2015;1;4;50;;2
19/08/2015;1;4;43;;2
20/08/2015;1;5;49;;3
21/08/2015;1;5;63;;2
22/08/2015;1;8;59;;2
23/08/2015;1;4;52;;1
24/08/2015;1;5;41;;2
25/08/2015;2;8;39;;2
26/08/2015;1;4;57;;1
27/08/2015;1;6;43;;2
28/08/2015;1;6;38;;1
29/08/2015;1;6;61;;1
30/08/2015;1;6;55;;1
31/08/2015;1;6;49;;2
01/09/2015;1;3;47;;1
02/09/2015;1;3;44;;3
03/09/2015;1;2;59;;5
04/09/2015;1;3;58;;3
05/09/2015;1;4;43;;3
06/09/2015;1;5;42;;2
07/09/2015;1;5;53;;2
08/09/2015;1;5;57;;1
09/09/2015;1;8;49;;3
10/09/2015;1;5;58;;3
11/09/2015;1;5;60;;2
12/09/2015;1;6;42;;2
13/09/2015;1;3;51;;1
14/09/2015;1;3;60;;1
15/09/2015;1;3;48;;2
16/09/2015;1;2;59;;2
17/09/2015;1;3;47;;2
18/09/2015;1;3;40;;3
19/09/2015;1;4;42;;2
20/09/2015;1;5;37;;2
21/09/2015;1;5;43;;2
22/09/2015;1;4;47;;2
23/09/2015;1;3;46;;2
24/09/2015;1;5;36;;2
25/09/2015;1;5;36;;1
26/09/2015;1;5;41;;1
27/09/2015;1;4;42;;2
28/09/2015;1;5;49;;2
