Fecha;Hora;PM10;SO2;NO2;NO;CO;O3;dd;vv;HR;LL;PRB;TMP
19/03/2015;18:00:00;n;7;14;3;0.7275;88.75;26;3.7;67.85;0;935.25;12.05
19/03/2015;19:00:00;n;7;18.75;4.5;0.71;91.25;24;3.9;68.15;0;935.5;11.6
19/03/2015;20:00:00;n;8;17.25;3.25;0.6575;88.5;16;3.4;74.025;0;936;10.4
19/03/2015;21:00:00;n;7;18.75;3.25;0.635;85.25;15;3.4;76.95;0;936;10
19/03/2015;22:00:00;n;7;15.75;2.25;0.65;83.25;15;2.4;78.6;0;936;9.6
19/03/2015;23:00:00;n;7.25;12.5;2.25;0.635;88.75;25;3;71.1;0;936.25;10.225
19/03/2015;0:00:00;n;7;9.75;2;0.595;94.75;17;2.9;73.225;0;936;9.475
20/03/2015;1:00:00;n;7.5;8.5;2;0.5625;87.25;16;2.4;72.6;0;936.5;9.125
20/03/2015;2:00:00;n;7;7.5;2;0.58;86.5;19;2;70.175;0;937;9.125
20/03/2015;3:00:00;n;7;6.75;2;0.5675;92;17;3.1;68.7;0;936.25;9.075
20/03/2015;4:00:00;n;7;6.25;2;0.5525;93;17;3.4;69.125;0;935;8.675
20/03/2015;5:00:00;n;7.5;6.75;2;0.5575;92.75;17;3.1;71.95;0.41;935;8.1
20/03/2015;6:00:00;n;7.25;7.25;2;0.545;94.25;22;4.4;69.275;0;934;8.025
20/03/2015;7:00:00;n;8;8.75;2;0.535;97.5;21;5.2;67.3;0;934;8.15
20/03/2015;8:00:00;n;8;11.25;2;0.565;92.5;19;4.9;70.825;0;934;7.55
20/03/2015;9:00:00;n;8;13.75;3;0.585;89;22;5.7;69.825;0;934;8
20/03/2015;10:00:00;n;7.75;13.75;2;0.5875;88;23;4.4;64.625;0;934.25;9.325
