Nombre;Longitud;Latitud;Fecha;SO2;NO;PM10;PM25;CO;O3;BEN
Avenida Argentina;-5.69611;43.54111;2015-10-18 7:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 6:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 5:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 4:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 3:00;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;;3. MEDIO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 2:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;3. MEDIO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 1:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;1. MUY ALTO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-18 0:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 23:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 22:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 21:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 20:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 19:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 18:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 17:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 16:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 15:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 14:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 13:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 12:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 11:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 10:00;5. MUY BAJO;4. BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 9:00;5. MUY BAJO;3. MEDIO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 8:00;5. MUY BAJO;3. MEDIO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 7:00;5. MUY BAJO;4. BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 6:00;5. MUY BAJO;4. BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 5:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 4:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 3:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 2:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-17 1:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
