Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;O3
GUARDO;-4.82722;42.70361;2014-05-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-02;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-03;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-04;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-05;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-06;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-07;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-05-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-11;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-12;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-13;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-14;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-15;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-17;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-18;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-19;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-20;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-21;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-05-22;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-24;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-25;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-26;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-27;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-28;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-05-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-05-30;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-05-31;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-01;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-02;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-03;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-04;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-06;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-07;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-11;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-12;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-13;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-14;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-15;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-06-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-06-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-06-18;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-19;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-06-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;2. ALTO;2. ALTO
GUARDO;-4.82722;42.70361;2014-06-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-23;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-26;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-06-28;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-06-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-06-30;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-02;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-03;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-07-06;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-07-07;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-11;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-12;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-13;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-14;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-15;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;2. ALTO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-18;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-19;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;
