Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ATEGORRIETA;-1.960650618;43.32199195;2015-06-09;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-08;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-07;;5. MUY BAJO;2. ALTO;3. MEDIO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-06;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-05;;5. MUY BAJO;1. MUY ALTO;2. ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-04;;;1. MUY ALTO;;2. ALTO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-03;;;;;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-02;;;;;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-06-01;;;1. MUY ALTO;;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-31;;1. MUY ALTO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-30;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-29;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-28;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-27;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-26;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-25;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-24;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-23;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-22;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-21;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-20;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-19;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-18;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-17;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-16;;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-15;;5. MUY BAJO;2. ALTO;2. ALTO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-14;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-13;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-12;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-11;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-10;;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-09;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-08;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-05-07;;3. MEDIO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;2. ALTO;4. BAJO;;;;;
